condition_id,enumeration,output_format,temperature,calls,format_valid_count,format_valid_pct,id_set_exact_count,id_set_exact_pct,instances,object_correct,object_accuracy_pct,color_strict_correct,color_strict_accuracy_pct,color_correct,color_accuracy_pct,joint_strict_correct,joint_strict_accuracy_pct,joint_correct,joint_accuracy_pct,scene_object_exact_count,scene_object_exact_pct,scene_color_strict_exact_count,scene_color_strict_exact_pct,scene_color_exact_count,scene_color_exact_pct,scene_joint_strict_exact_count,scene_joint_strict_exact_pct,scene_joint_exact_count,scene_joint_exact_pct,missing_id_count,extra_id_count,duplicate_output_calls,parse_failures,length_finishes,mean_output_tokens,mean_wall_seconds,visible_id_set_exact_count,visible_id_set_exact_pct,cross_field_consistency_exact_count,cross_field_consistency_exact_pct,full_output_joint_exact_count,full_output_joint_exact_pct,scenes_5of5_full_exact,scenes_1to4of5_full_exact,scenes_0of5_full_exact,error_breakdown
T03_DIRECT_TEXT,False,TEXT,0.3,300,300,100.0,296,98.667,2300,2287,99.435,2185,95.0,2296,99.826,2176,94.609,2287,99.435,288,96.0,207,69.0,296,98.667,203,67.667,288,96.0,4,0,0,0,0,53.573,0.3841,0,,0,,288,96.0,55,5,0,"{""correct"": 288, ""id_coverage_failure"": 4, ""object_error_only"": 8}"
T03_DIRECT_JSON,False,JSON_FORCED,0.3,300,300,100.0,300,100.0,2300,2300,100.0,2157,93.783,2300,100.0,2157,93.783,2300,100.0,300,100.0,186,62.0,300,100.0,186,62.0,300,100.0,0,0,0,0,0,161.637,1.0634,0,,0,,300,100.0,60,0,0,"{""correct"": 300}"
T03_ENUM_TEXT,True,TEXT,0.3,300,300,100.0,300,100.0,2300,2289,99.522,2205,95.87,2300,100.0,2194,95.391,2289,99.522,289,96.333,220,73.333,300,100.0,214,71.333,289,96.333,0,0,0,0,0,87.353,0.5784,300,100.0,300,100.0,289,96.333,57,2,1,"{""correct"": 289, ""object_error_only"": 11}"
T03_ENUM_JSON,True,JSON_FORCED,0.3,300,300,100.0,300,100.0,2300,2299,99.957,2162,94.0,2300,100.0,2161,93.957,2299,99.957,299,99.667,193,64.333,300,100.0,192,64.0,299,99.667,0,0,0,0,0,196.297,1.2864,300,100.0,300,100.0,299,99.667,59,1,0,"{""correct"": 299, ""object_error_only"": 1}"
T05_DIRECT_TEXT,False,TEXT,0.5,300,300,100.0,298,99.333,2300,2288,99.478,2186,95.043,2298,99.913,2176,94.609,2288,99.478,289,96.333,207,69.0,298,99.333,201,67.0,289,96.333,2,0,0,0,0,53.623,0.3649,0,,0,,289,96.333,54,6,0,"{""correct"": 289, ""id_coverage_failure"": 2, ""object_error_only"": 9}"
T05_DIRECT_JSON,False,JSON_FORCED,0.5,300,300,100.0,300,100.0,2300,2300,100.0,2151,93.522,2299,99.957,2151,93.522,2299,99.957,300,100.0,181,60.333,299,99.667,181,60.333,299,99.667,0,0,0,0,0,161.603,1.0594,0,,0,,299,99.667,59,1,0,"{""color_error_only"": 1, ""correct"": 299}"
T05_ENUM_TEXT,True,TEXT,0.5,300,300,100.0,300,100.0,2300,2291,99.609,2198,95.565,2300,100.0,2189,95.174,2291,99.609,291,97.0,213,71.0,300,100.0,208,69.333,291,97.0,0,0,0,0,0,87.343,0.572,300,100.0,300,100.0,291,97.0,57,3,0,"{""correct"": 291, ""object_error_only"": 9}"
T05_ENUM_JSON,True,JSON_FORCED,0.5,300,300,100.0,300,100.0,2300,2299,99.957,2148,93.391,2300,100.0,2147,93.348,2299,99.957,299,99.667,185,61.667,300,100.0,184,61.333,299,99.667,0,0,0,0,0,196.29,1.2828,300,100.0,300,100.0,299,99.667,59,1,0,"{""correct"": 299, ""object_error_only"": 1}"
T07_DIRECT_TEXT,False,TEXT,0.7,300,300,100.0,295,98.333,2300,2284,99.304,2183,94.913,2295,99.783,2172,94.435,2284,99.304,285,95.0,203,67.667,295,98.333,196,65.333,285,95.0,5,1,0,0,0,53.59,0.3645,0,,0,,285,95.0,52,8,0,"{""correct"": 285, ""id_coverage_failure"": 5, ""object_error_only"": 10}"
T07_DIRECT_JSON,False,JSON_FORCED,0.7,300,300,100.0,300,100.0,2300,2300,100.0,2148,93.391,2299,99.957,2148,93.391,2299,99.957,300,100.0,177,59.0,299,99.667,177,59.0,299,99.667,0,0,0,0,0,161.597,1.0592,0,,0,,299,99.667,59,1,0,"{""color_error_only"": 1, ""correct"": 299}"
T07_ENUM_TEXT,True,TEXT,0.7,300,300,100.0,300,100.0,2300,2289,99.522,2183,94.913,2300,100.0,2172,94.435,2289,99.522,289,96.333,203,67.667,300,100.0,195,65.0,289,96.333,0,0,0,0,0,87.36,0.5713,300,100.0,300,100.0,289,96.333,55,5,0,"{""correct"": 289, ""object_error_only"": 11}"
T07_ENUM_JSON,True,JSON_FORCED,0.7,300,300,100.0,300,100.0,2300,2296,99.826,2139,93.0,2300,100.0,2135,92.826,2296,99.826,296,98.667,183,61.0,300,100.0,180,60.0,296,98.667,0,0,0,0,0,196.31,1.2822,300,100.0,300,100.0,296,98.667,56,4,0,"{""correct"": 296, ""object_error_only"": 4}"
