condition_id,enumeration,output_format,temperature,level,calls,format_valid_count,format_valid_pct,id_set_exact_count,id_set_exact_pct,instances,object_correct,object_accuracy_pct,color_strict_correct,color_strict_accuracy_pct,color_correct,color_accuracy_pct,joint_strict_correct,joint_strict_accuracy_pct,joint_correct,joint_accuracy_pct,scene_object_exact_count,scene_object_exact_pct,scene_color_strict_exact_count,scene_color_strict_exact_pct,scene_color_exact_count,scene_color_exact_pct,scene_joint_strict_exact_count,scene_joint_strict_exact_pct,scene_joint_exact_count,scene_joint_exact_pct,missing_id_count,extra_id_count,duplicate_output_calls,parse_failures,length_finishes,mean_output_tokens,mean_wall_seconds,visible_id_set_exact_count,visible_id_set_exact_pct,cross_field_consistency_exact_count,cross_field_consistency_exact_pct,full_output_joint_exact_count,full_output_joint_exact_pct
T03_DIRECT_TEXT,False,TEXT,0.3,L3,100,100,100.0,100,100.0,600,599,99.833,595,99.167,600,100.0,594,99.0,599,99.833,99,99.0,97,97.0,100,100.0,96,96.0,99,99.0,0,0,0,0,0,42.0,0.3092,0,,0,,99,99.0
T03_DIRECT_TEXT,False,TEXT,0.3,L4,100,100,100.0,99,99.0,800,797,99.625,747,93.375,799,99.875,745,93.125,797,99.625,98,98.0,59,59.0,99,99.0,58,58.0,98,98.0,1,0,0,0,0,55.93,0.3994,0,,0,,98,98.0
T03_DIRECT_TEXT,False,TEXT,0.3,L5,100,100,100.0,97,97.0,900,891,99.0,843,93.667,897,99.667,837,93.0,891,99.0,91,91.0,51,51.0,97,97.0,49,49.0,91,91.0,3,0,0,0,0,62.79,0.4438,0,,0,,91,91.0
T03_DIRECT_JSON,False,JSON_FORCED,0.3,L3,100,100,100.0,100,100.0,600,600,100.0,585,97.5,600,100.0,585,97.5,600,100.0,100,100.0,95,95.0,100,100.0,95,95.0,100,100.0,0,0,0,0,0,127.23,0.8441,0,,0,,100,100.0
T03_DIRECT_JSON,False,JSON_FORCED,0.3,L4,100,100,100.0,100,100.0,800,800,100.0,741,92.625,800,100.0,741,92.625,800,100.0,100,100.0,53,53.0,100,100.0,53,53.0,100,100.0,0,0,0,0,0,168.81,1.1086,0,,0,,100,100.0
T03_DIRECT_JSON,False,JSON_FORCED,0.3,L5,100,100,100.0,100,100.0,900,900,100.0,831,92.333,900,100.0,831,92.333,900,100.0,100,100.0,38,38.0,100,100.0,38,38.0,100,100.0,0,0,0,0,0,188.87,1.2374,0,,0,,100,100.0
T03_ENUM_TEXT,True,TEXT,0.3,L3,100,100,100.0,100,100.0,600,600,100.0,600,100.0,600,100.0,600,100.0,600,100.0,100,100.0,100,100.0,100,100.0,100,100.0,100,100.0,0,0,0,0,0,69.0,0.4607,100,100.0,100,100.0,100,100.0
T03_ENUM_TEXT,True,TEXT,0.3,L4,100,100,100.0,100,100.0,800,796,99.5,751,93.875,800,100.0,747,93.375,796,99.5,96,96.0,63,63.0,100,100.0,59,59.0,96,96.0,0,0,0,0,0,91.0,0.6018,100,100.0,100,100.0,96,96.0
T03_ENUM_TEXT,True,TEXT,0.3,L5,100,100,100.0,100,100.0,900,893,99.222,854,94.889,900,100.0,847,94.111,893,99.222,93,93.0,57,57.0,100,100.0,55,55.0,93,93.0,0,0,0,0,0,102.06,0.6727,100,100.0,100,100.0,93,93.0
T03_ENUM_JSON,True,JSON_FORCED,0.3,L3,100,100,100.0,100,100.0,600,600,100.0,583,97.167,600,100.0,583,97.167,600,100.0,100,100.0,93,93.0,100,100.0,93,93.0,100,100.0,0,0,0,0,0,155.18,1.0226,100,100.0,100,100.0,100,100.0
T03_ENUM_JSON,True,JSON_FORCED,0.3,L4,100,100,100.0,100,100.0,800,799,99.875,745,93.125,800,100.0,744,93.0,799,99.875,99,99.0,59,59.0,100,100.0,58,58.0,99,99.0,0,0,0,0,0,204.79,1.3405,100,100.0,100,100.0,99,99.0
T03_ENUM_JSON,True,JSON_FORCED,0.3,L5,100,100,100.0,100,100.0,900,900,100.0,834,92.667,900,100.0,834,92.667,900,100.0,100,100.0,41,41.0,100,100.0,41,41.0,100,100.0,0,0,0,0,0,228.92,1.496,100,100.0,100,100.0,100,100.0
T05_DIRECT_TEXT,False,TEXT,0.5,L3,100,100,100.0,100,100.0,600,598,99.667,595,99.167,600,100.0,593,98.833,598,99.667,98,98.0,97,97.0,100,100.0,95,95.0,98,98.0,0,0,0,0,0,42.0,0.2904,0,,0,,98,98.0
T05_DIRECT_TEXT,False,TEXT,0.5,L4,100,100,100.0,99,99.0,800,796,99.5,749,93.625,799,99.875,746,93.25,796,99.5,97,97.0,60,60.0,99,99.0,58,58.0,97,97.0,1,0,0,0,0,55.93,0.3798,0,,0,,97,97.0
T05_DIRECT_TEXT,False,TEXT,0.5,L5,100,100,100.0,99,99.0,900,894,99.333,842,93.556,899,99.889,837,93.0,894,99.333,94,94.0,50,50.0,99,99.0,48,48.0,94,94.0,1,0,0,0,0,62.94,0.4244,0,,0,,94,94.0
T05_DIRECT_JSON,False,JSON_FORCED,0.5,L3,100,100,100.0,100,100.0,600,600,100.0,589,98.167,600,100.0,589,98.167,600,100.0,100,100.0,95,95.0,100,100.0,95,95.0,100,100.0,0,0,0,0,0,127.27,0.8392,0,,0,,100,100.0
T05_DIRECT_JSON,False,JSON_FORCED,0.5,L4,100,100,100.0,100,100.0,800,800,100.0,738,92.25,799,99.875,738,92.25,799,99.875,100,100.0,51,51.0,99,99.0,51,51.0,99,99.0,0,0,0,0,0,168.79,1.1059,0,,0,,99,99.0
T05_DIRECT_JSON,False,JSON_FORCED,0.5,L5,100,100,100.0,100,100.0,900,900,100.0,824,91.556,900,100.0,824,91.556,900,100.0,100,100.0,35,35.0,100,100.0,35,35.0,100,100.0,0,0,0,0,0,188.75,1.2332,0,,0,,100,100.0
T05_ENUM_TEXT,True,TEXT,0.5,L3,100,100,100.0,100,100.0,600,600,100.0,596,99.333,600,100.0,596,99.333,600,100.0,100,100.0,98,98.0,100,100.0,98,98.0,100,100.0,0,0,0,0,0,69.0,0.4535,100,100.0,100,100.0,100,100.0
T05_ENUM_TEXT,True,TEXT,0.5,L4,100,100,100.0,100,100.0,800,796,99.5,751,93.875,800,100.0,747,93.375,796,99.5,96,96.0,62,62.0,100,100.0,58,58.0,96,96.0,0,0,0,0,0,91.0,0.5962,100,100.0,100,100.0,96,96.0
T05_ENUM_TEXT,True,TEXT,0.5,L5,100,100,100.0,100,100.0,900,895,99.444,851,94.556,900,100.0,846,94.0,895,99.444,95,95.0,53,53.0,100,100.0,52,52.0,95,95.0,0,0,0,0,0,102.03,0.6663,100,100.0,100,100.0,95,95.0
T05_ENUM_JSON,True,JSON_FORCED,0.5,L3,100,100,100.0,100,100.0,600,600,100.0,577,96.167,600,100.0,577,96.167,600,100.0,100,100.0,91,91.0,100,100.0,91,91.0,100,100.0,0,0,0,0,0,155.19,1.0186,100,100.0,100,100.0,100,100.0
T05_ENUM_JSON,True,JSON_FORCED,0.5,L4,100,100,100.0,100,100.0,800,799,99.875,743,92.875,800,100.0,742,92.75,799,99.875,99,99.0,56,56.0,100,100.0,55,55.0,99,99.0,0,0,0,0,0,204.78,1.3373,100,100.0,100,100.0,99,99.0
T05_ENUM_JSON,True,JSON_FORCED,0.5,L5,100,100,100.0,100,100.0,900,900,100.0,828,92.0,900,100.0,828,92.0,900,100.0,100,100.0,38,38.0,100,100.0,38,38.0,100,100.0,0,0,0,0,0,228.9,1.4926,100,100.0,100,100.0,100,100.0
T07_DIRECT_TEXT,False,TEXT,0.7,L3,100,100,100.0,100,100.0,600,598,99.667,593,98.833,600,100.0,591,98.5,598,99.667,98,98.0,97,97.0,100,100.0,95,95.0,98,98.0,0,0,0,0,0,42.0,0.2899,0,,0,,98,98.0
T07_DIRECT_TEXT,False,TEXT,0.7,L4,100,100,100.0,98,98.0,800,794,99.25,747,93.375,798,99.75,743,92.875,794,99.25,95,95.0,56,56.0,98,98.0,53,53.0,95,95.0,2,1,0,0,0,55.93,0.3798,0,,0,,95,95.0
T07_DIRECT_TEXT,False,TEXT,0.7,L5,100,100,100.0,97,97.0,900,892,99.111,843,93.667,897,99.667,838,93.111,892,99.111,92,92.0,50,50.0,97,97.0,48,48.0,92,92.0,3,0,0,0,0,62.84,0.4237,0,,0,,92,92.0
T07_DIRECT_JSON,False,JSON_FORCED,0.7,L3,100,100,100.0,100,100.0,600,600,100.0,591,98.5,600,100.0,591,98.5,600,100.0,100,100.0,95,95.0,100,100.0,95,95.0,100,100.0,0,0,0,0,0,127.32,0.8387,0,,0,,100,100.0
T07_DIRECT_JSON,False,JSON_FORCED,0.7,L4,100,100,100.0,100,100.0,800,800,100.0,736,92.0,799,99.875,736,92.0,799,99.875,100,100.0,49,49.0,99,99.0,49,49.0,99,99.0,0,0,0,0,0,168.75,1.1057,0,,0,,99,99.0
