query_id,target_color,scope,calls,instances,matching_id_set_exact_pct,matching_micro_precision_pct,matching_micro_recall_pct,matching_micro_f1_pct,request_constraints_exact_pct,semantic_id_set_exact_pct,semantic_object_accuracy_pct,semantic_basic_color_accuracy_pct,semantic_perceptual_color_accuracy_pct,semantic_joint_accuracy_pct,semantic_perceptual_joint_accuracy_pct,semantic_scene_joint_exact_pct,semantic_perceptual_scene_joint_exact_pct,type_flag_accuracy_pct,color_flag_accuracy_pct,match_flag_accuracy_pct,logical_rule_scene_exact_pct,aggregation_exact_pct,absent_false_positive_rate_pct,parse_failures,scene_queries_5of5,scene_queries_1to4of5,scene_queries_0of5
Q1_5_COLOR_ONLY_PRESENT,blue,Q1_5_COLOR_ONLY_PRESENT_blue,85,635,48.235,80.169,100.0,88.993,100.0,100.0,99.685,85.354,100.0,85.039,99.685,30.588,97.647,100.0,92.598,92.598,100.0,100.0,0.0,0,8,1,8
Q1_5_COLOR_ONLY_PRESENT,brown,Q1_5_COLOR_ONLY_PRESENT_brown,50,320,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.875,100.0,96.875,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0,10,0,0
Q1_5_COLOR_ONLY_PRESENT,green,Q1_5_COLOR_ONLY_PRESENT_green,30,250,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.0,100.0,86.0,100.0,16.667,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0,6,0,0
Q1_5_COLOR_ONLY_PRESENT,pink,Q1_5_COLOR_ONLY_PRESENT_pink,25,205,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.61,100.0,75.61,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0,5,0,0
Q1_5_COLOR_ONLY_PRESENT,purple,Q1_5_COLOR_ONLY_PRESENT_purple,30,250,33.333,88.889,66.667,76.19,100.0,100.0,100.0,70.4,100.0,70.4,100.0,0.0,100.0,100.0,90.0,90.0,100.0,100.0,0.0,0,2,0,4
Q1_5_COLOR_ONLY_PRESENT,yellow,Q1_5_COLOR_ONLY_PRESENT_yellow,80,640,58.75,100.0,78.286,87.821,100.0,100.0,100.0,80.938,100.0,80.938,100.0,31.25,100.0,100.0,94.062,94.062,100.0,100.0,0.0,0,9,1,6
Q2_CATEGORY_COLOR_PRESENT,blue,Q2_CATEGORY_COLOR_PRESENT_blue,85,635,84.706,87.786,100.0,93.496,100.0,100.0,100.0,84.882,100.0,84.882,100.0,29.412,100.0,100.0,92.756,97.48,100.0,100.0,0.0,0,14,1,2
Q2_CATEGORY_COLOR_PRESENT,brown,Q2_CATEGORY_COLOR_PRESENT_brown,50,320,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.875,100.0,96.875,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0,10,0,0
Q2_CATEGORY_COLOR_PRESENT,green,Q2_CATEGORY_COLOR_PRESENT_green,30,250,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.0,100.0,86.0,100.0,16.667,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0,6,0,0
Q2_CATEGORY_COLOR_PRESENT,pink,Q2_CATEGORY_COLOR_PRESENT_pink,25,205,100.0,100.0,100.0,100.0,100.0,100.0,100.0,78.537,100.0,78.537,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0,5,0,0
