scene_type,method,numbered_rgb_calls,numbered_rgb_target_partition_exact_pct,numbered_rgb_target_relation_accuracy_pct,rgb_plus_gray_calls,rgb_plus_gray_target_partition_exact_pct,rgb_plus_gray_target_relation_accuracy_pct,rgb_plus_numbered_gray_calls,rgb_plus_numbered_gray_target_partition_exact_pct,rgb_plus_numbered_gray_target_relation_accuracy_pct
separated_nonoverlap,minimal_direct,200,46.0,72.2,200,41.0,66.4,200,45.0,65.6
separated_nonoverlap,detailed_direct,200,56.5,77.0,200,47.5,70.0,200,50.5,71.2
separated_nonoverlap,contact_point,200,50.5,74.6,200,50.5,71.0,200,46.5,68.2
separated_nonoverlap,explicit_pairs,200,33.0,63.4,200,25.5,54.6,200,25.5,57.2
separated_nonoverlap,single_target,200,62.5,83.2,200,60.5,77.2,200,57.0,72.8
packed_nonoverlap,minimal_direct,200,58.0,77.0,200,58.0,80.6,200,56.0,80.0
packed_nonoverlap,detailed_direct,200,58.0,82.0,200,67.0,86.4,200,57.0,81.0
packed_nonoverlap,contact_point,200,64.0,82.8,200,59.5,81.4,200,57.5,80.0
packed_nonoverlap,explicit_pairs,200,45.0,73.0,200,34.5,67.8,200,38.5,70.2
packed_nonoverlap,single_target,200,49.0,73.4,200,60.5,79.6,200,57.5,77.4
structured_occlusion,minimal_direct,200,90.0,96.0,200,88.5,94.6,200,87.5,93.8
structured_occlusion,detailed_direct,200,90.0,96.0,200,86.0,93.6,200,88.0,95.2
structured_occlusion,contact_point,200,85.5,94.2,200,87.5,94.2,200,89.5,95.6
structured_occlusion,explicit_pairs,200,34.0,57.8,200,58.5,72.6,200,52.0,67.2
structured_occlusion,single_target,200,57.5,81.0,200,62.0,83.8,200,69.0,86.0
