scene_id,scene_family,target_object_id,C0,C1,C2_D4,C2_D8,C3_D4,C3_D8,C4_D4,C4_D8,C5_D4,C5_D8,C6_D4,C6_D8
scene_fc_blocked_v01,FC_BLOCKED,64,5,5,5,5,5,5,5,5,5,5,5,5
scene_fc_blocked_v02,FC_BLOCKED,53,5,5,1,2,5,5,5,5,5,5,5,5
scene_fc_blocked_v03,FC_BLOCKED,12,5,5,5,5,5,5,5,5,5,5,5,5
scene_fc_blocked_v04,FC_BLOCKED,89,5,4,5,1,5,5,5,5,5,5,5,5
scene_fc_blocked_v05,FC_BLOCKED,59,5,1,0,0,5,5,5,5,5,5,5,5
scene_fc_clear_v01,FC_CLEAR,53,5,5,5,5,5,5,5,5,5,5,5,5
scene_fc_clear_v02,FC_CLEAR,29,5,5,5,5,5,5,5,5,5,5,5,5
scene_fc_clear_v03,FC_CLEAR,95,5,5,5,5,5,5,5,5,5,5,5,5
scene_fc_clear_v04,FC_CLEAR,61,5,5,5,5,5,5,5,5,5,5,5,5
scene_fc_clear_v05,FC_CLEAR,62,5,5,5,5,5,5,5,5,5,5,5,5
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,59,0,0,0,0,1,3,0,1,1,4,1,2
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,70,0,4,0,0,5,5,1,5,1,5,4,1
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,12,0,0,0,0,1,5,2,5,0,0,0,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,68,0,0,0,0,0,0,0,0,0,0,0,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,43,0,0,0,0,0,1,0,0,0,1,0,0
scene_rotate_v01,ROTATE,12,0,0,0,0,2,0,0,4,1,4,4,0
scene_rotate_v02,ROTATE,38,0,4,5,0,0,0,0,0,0,4,2,0
scene_rotate_v03,ROTATE,83,0,1,5,1,5,1,0,5,2,5,5,5
scene_rotate_v04,ROTATE,47,0,1,2,5,2,2,3,5,2,4,4,4
scene_rotate_v05,ROTATE,44,0,0,0,0,2,2,3,2,0,0,0,0
scene_translate_v01,TRANSLATE,67,0,0,0,0,0,0,0,0,0,0,0,4
scene_translate_v02,TRANSLATE,45,0,0,0,0,5,5,5,5,5,4,5,5
scene_translate_v03,TRANSLATE,18,0,1,0,0,2,5,5,5,5,5,5,5
scene_translate_v04,TRANSLATE,13,0,0,0,0,0,0,0,5,0,0,0,0
scene_translate_v05,TRANSLATE,54,0,0,0,1,5,2,2,5,5,2,1,5
