condition_key,condition_name,n,ACCESSIBLE,BLOCKED,INVALID,positive_rate,unanimous_scenes,blocked_to_accessible,accessible_to_blocked,changed_valid_pairs,net_accessible_change,valid_pairs,invalid_pairs,v16_RETRIEVE_NOW,v16_to_v18_positive_delta_pp
C0,RGB only,125,50,75,0,0.4,25,0,0,0,0,125,0,47,2.400000000000002
C1,R Numeric,125,56,69,0,0.448,18,11,5,16,6,125,0,39,13.600000000000001
C2_D4,R Qualitative D4,125,53,72,0,0.424,23,12,9,21,3,125,0,41,9.599999999999998
C2_D8,R Qualitative D8,125,45,80,0,0.36,21,7,12,19,-5,125,0,31,11.2
C3_D4,F Numeric D4,125,80,45,0,0.64,19,30,0,30,30,125,0,57,18.4
C3_D8,F Numeric D8,125,81,44,0,0.648,19,31,0,31,31,125,0,56,20.0
C4_D4,F Qualitative D4,125,71,54,0,0.568,20,21,0,21,21,125,0,33,30.399999999999995
C4_D8,F Qualitative D8,125,97,28,0,0.776,22,47,0,47,47,125,0,33,51.2
C5_D4,M Numeric D4,125,72,53,0,0.576,20,22,0,22,22,125,0,38,27.199999999999996
C5_D8,M Numeric D8,125,88,37,0,0.704,18,38,0,38,38,125,0,49,31.199999999999996
C6_D4,M Qualitative D4,125,81,44,0,0.648,19,31,0,31,31,125,0,36,36.00000000000001
C6_D8,M Qualitative D8,125,81,44,0,0.648,21,31,0,31,31,125,0,45,28.800000000000004
