condition_key,condition_name,scene_family,n,ACCESSIBLE,BLOCKED,INVALID,positive_rate
C0,RGB only,FC_CLEAR,25,25,0,0,1.0
C0,RGB only,FC_BLOCKED,25,25,0,0,1.0
C0,RGB only,TRANSLATE,25,0,25,0,0.0
C0,RGB only,ROTATE,25,0,25,0,0.0
C0,RGB only,LIFT_AND_RELOCATE,25,0,25,0,0.0
C1,R Numeric,FC_CLEAR,25,25,0,0,1.0
C1,R Numeric,FC_BLOCKED,25,20,5,0,0.8
C1,R Numeric,TRANSLATE,25,1,24,0,0.04
C1,R Numeric,ROTATE,25,6,19,0,0.24
C1,R Numeric,LIFT_AND_RELOCATE,25,4,21,0,0.16
C2_D4,R Qualitative D4,FC_CLEAR,25,25,0,0,1.0
C2_D4,R Qualitative D4,FC_BLOCKED,25,16,9,0,0.64
C2_D4,R Qualitative D4,TRANSLATE,25,0,25,0,0.0
C2_D4,R Qualitative D4,ROTATE,25,12,13,0,0.48
C2_D4,R Qualitative D4,LIFT_AND_RELOCATE,25,0,25,0,0.0
C2_D8,R Qualitative D8,FC_CLEAR,25,25,0,0,1.0
C2_D8,R Qualitative D8,FC_BLOCKED,25,13,12,0,0.52
C2_D8,R Qualitative D8,TRANSLATE,25,1,24,0,0.04
C2_D8,R Qualitative D8,ROTATE,25,6,19,0,0.24
C2_D8,R Qualitative D8,LIFT_AND_RELOCATE,25,0,25,0,0.0
C3_D4,F Numeric D4,FC_CLEAR,25,25,0,0,1.0
C3_D4,F Numeric D4,FC_BLOCKED,25,25,0,0,1.0
C3_D4,F Numeric D4,TRANSLATE,25,12,13,0,0.48
C3_D4,F Numeric D4,ROTATE,25,11,14,0,0.44
C3_D4,F Numeric D4,LIFT_AND_RELOCATE,25,7,18,0,0.28
C3_D8,F Numeric D8,FC_CLEAR,25,25,0,0,1.0
C3_D8,F Numeric D8,FC_BLOCKED,25,25,0,0,1.0
C3_D8,F Numeric D8,TRANSLATE,25,12,13,0,0.48
C3_D8,F Numeric D8,ROTATE,25,5,20,0,0.2
C3_D8,F Numeric D8,LIFT_AND_RELOCATE,25,14,11,0,0.56
C4_D4,F Qualitative D4,FC_CLEAR,25,25,0,0,1.0
C4_D4,F Qualitative D4,FC_BLOCKED,25,25,0,0,1.0
C4_D4,F Qualitative D4,TRANSLATE,25,12,13,0,0.48
C4_D4,F Qualitative D4,ROTATE,25,6,19,0,0.24
C4_D4,F Qualitative D4,LIFT_AND_RELOCATE,25,3,22,0,0.12
C4_D8,F Qualitative D8,FC_CLEAR,25,25,0,0,1.0
C4_D8,F Qualitative D8,FC_BLOCKED,25,25,0,0,1.0
C4_D8,F Qualitative D8,TRANSLATE,25,20,5,0,0.8
C4_D8,F Qualitative D8,ROTATE,25,16,9,0,0.64
C4_D8,F Qualitative D8,LIFT_AND_RELOCATE,25,11,14,0,0.44
C5_D4,M Numeric D4,FC_CLEAR,25,25,0,0,1.0
C5_D4,M Numeric D4,FC_BLOCKED,25,25,0,0,1.0
C5_D4,M Numeric D4,TRANSLATE,25,15,10,0,0.6
C5_D4,M Numeric D4,ROTATE,25,5,20,0,0.2
C5_D4,M Numeric D4,LIFT_AND_RELOCATE,25,2,23,0,0.08
C5_D8,M Numeric D8,FC_CLEAR,25,25,0,0,1.0
C5_D8,M Numeric D8,FC_BLOCKED,25,25,0,0,1.0
C5_D8,M Numeric D8,TRANSLATE,25,11,14,0,0.44
C5_D8,M Numeric D8,ROTATE,25,17,8,0,0.68
C5_D8,M Numeric D8,LIFT_AND_RELOCATE,25,10,15,0,0.4
C6_D4,M Qualitative D4,FC_CLEAR,25,25,0,0,1.0
C6_D4,M Qualitative D4,FC_BLOCKED,25,25,0,0,1.0
C6_D4,M Qualitative D4,TRANSLATE,25,11,14,0,0.44
C6_D4,M Qualitative D4,ROTATE,25,15,10,0,0.6
C6_D4,M Qualitative D4,LIFT_AND_RELOCATE,25,5,20,0,0.2
C6_D8,M Qualitative D8,FC_CLEAR,25,25,0,0,1.0
C6_D8,M Qualitative D8,FC_BLOCKED,25,25,0,0,1.0
C6_D8,M Qualitative D8,TRANSLATE,25,19,6,0,0.76
C6_D8,M Qualitative D8,ROTATE,25,9,16,0,0.36
C6_D8,M Qualitative D8,LIFT_AND_RELOCATE,25,3,22,0,0.12
