scene_id,scene_family,condition_key,seed,run_id,target_object_id,decision,schema_valid,raw_response,v16_decision
scene_fc_blocked_v01,FC_BLOCKED,C0,28101,v18__scene_fc_blocked_v01__L2__C0__s28101,64,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v01,FC_BLOCKED,C0,28102,v18__scene_fc_blocked_v01__L2__C0__s28102,64,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v01,FC_BLOCKED,C0,28103,v18__scene_fc_blocked_v01__L2__C0__s28103,64,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v01,FC_BLOCKED,C0,28104,v18__scene_fc_blocked_v01__L2__C0__s28104,64,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v01,FC_BLOCKED,C0,28105,v18__scene_fc_blocked_v01__L2__C0__s28105,64,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v02,FC_BLOCKED,C0,28101,v18__scene_fc_blocked_v02__L2__C0__s28101,53,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",REARRANGE_FIRST
scene_fc_blocked_v02,FC_BLOCKED,C0,28102,v18__scene_fc_blocked_v02__L2__C0__s28102,53,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v02,FC_BLOCKED,C0,28103,v18__scene_fc_blocked_v02__L2__C0__s28103,53,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v02,FC_BLOCKED,C0,28104,v18__scene_fc_blocked_v02__L2__C0__s28104,53,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v02,FC_BLOCKED,C0,28105,v18__scene_fc_blocked_v02__L2__C0__s28105,53,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v03,FC_BLOCKED,C0,28101,v18__scene_fc_blocked_v03__L2__C0__s28101,12,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v03,FC_BLOCKED,C0,28102,v18__scene_fc_blocked_v03__L2__C0__s28102,12,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v03,FC_BLOCKED,C0,28103,v18__scene_fc_blocked_v03__L2__C0__s28103,12,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v03,FC_BLOCKED,C0,28104,v18__scene_fc_blocked_v03__L2__C0__s28104,12,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v03,FC_BLOCKED,C0,28105,v18__scene_fc_blocked_v03__L2__C0__s28105,12,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v04,FC_BLOCKED,C0,28101,v18__scene_fc_blocked_v04__L2__C0__s28101,89,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v04,FC_BLOCKED,C0,28102,v18__scene_fc_blocked_v04__L2__C0__s28102,89,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v04,FC_BLOCKED,C0,28103,v18__scene_fc_blocked_v04__L2__C0__s28103,89,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v04,FC_BLOCKED,C0,28104,v18__scene_fc_blocked_v04__L2__C0__s28104,89,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v04,FC_BLOCKED,C0,28105,v18__scene_fc_blocked_v04__L2__C0__s28105,89,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_blocked_v05,FC_BLOCKED,C0,28101,v18__scene_fc_blocked_v05__L2__C0__s28101,59,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",REARRANGE_FIRST
scene_fc_blocked_v05,FC_BLOCKED,C0,28102,v18__scene_fc_blocked_v05__L2__C0__s28102,59,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",REARRANGE_FIRST
scene_fc_blocked_v05,FC_BLOCKED,C0,28103,v18__scene_fc_blocked_v05__L2__C0__s28103,59,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",REARRANGE_FIRST
scene_fc_blocked_v05,FC_BLOCKED,C0,28104,v18__scene_fc_blocked_v05__L2__C0__s28104,59,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",REARRANGE_FIRST
scene_fc_blocked_v05,FC_BLOCKED,C0,28105,v18__scene_fc_blocked_v05__L2__C0__s28105,59,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",REARRANGE_FIRST
scene_fc_clear_v01,FC_CLEAR,C0,28101,v18__scene_fc_clear_v01__L2__C0__s28101,53,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_clear_v01,FC_CLEAR,C0,28102,v18__scene_fc_clear_v01__L2__C0__s28102,53,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_clear_v01,FC_CLEAR,C0,28103,v18__scene_fc_clear_v01__L2__C0__s28103,53,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_clear_v01,FC_CLEAR,C0,28104,v18__scene_fc_clear_v01__L2__C0__s28104,53,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_clear_v01,FC_CLEAR,C0,28105,v18__scene_fc_clear_v01__L2__C0__s28105,53,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_clear_v02,FC_CLEAR,C0,28101,v18__scene_fc_clear_v02__L2__C0__s28101,29,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_clear_v02,FC_CLEAR,C0,28102,v18__scene_fc_clear_v02__L2__C0__s28102,29,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_clear_v02,FC_CLEAR,C0,28103,v18__scene_fc_clear_v02__L2__C0__s28103,29,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_clear_v02,FC_CLEAR,C0,28104,v18__scene_fc_clear_v02__L2__C0__s28104,29,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_clear_v02,FC_CLEAR,C0,28105,v18__scene_fc_clear_v02__L2__C0__s28105,29,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_clear_v03,FC_CLEAR,C0,28101,v18__scene_fc_clear_v03__L2__C0__s28101,95,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_clear_v03,FC_CLEAR,C0,28102,v18__scene_fc_clear_v03__L2__C0__s28102,95,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_clear_v03,FC_CLEAR,C0,28103,v18__scene_fc_clear_v03__L2__C0__s28103,95,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_clear_v03,FC_CLEAR,C0,28104,v18__scene_fc_clear_v03__L2__C0__s28104,95,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
scene_fc_clear_v03,FC_CLEAR,C0,28105,v18__scene_fc_clear_v03__L2__C0__s28105,95,ACCESSIBLE,True,"{""decision"": ""ACCESSIBLE""}",RETRIEVE_NOW
