condition_key,seed,n,ACCESSIBLE,BLOCKED,INVALID,positive_rate
C0,28101,25,10,15,0,0.4
C0,28102,25,10,15,0,0.4
C0,28103,25,10,15,0,0.4
C0,28104,25,10,15,0,0.4
C0,28105,25,10,15,0,0.4
C1,28101,25,11,14,0,0.44
C1,28102,25,11,14,0,0.44
C1,28103,25,11,14,0,0.44
C1,28104,25,8,17,0,0.32
C1,28105,25,15,10,0,0.6
C2_D4,28101,25,11,14,0,0.44
C2_D4,28102,25,10,15,0,0.4
C2_D4,28103,25,10,15,0,0.4
C2_D4,28104,25,10,15,0,0.4
C2_D4,28105,25,12,13,0,0.48
C2_D8,28101,25,9,16,0,0.36
C2_D8,28102,25,8,17,0,0.32
C2_D8,28103,25,8,17,0,0.32
C2_D8,28104,25,8,17,0,0.32
C2_D8,28105,25,12,13,0,0.48
C3_D4,28101,25,18,7,0,0.72
C3_D4,28102,25,14,11,0,0.56
C3_D4,28103,25,14,11,0,0.56
C3_D4,28104,25,14,11,0,0.56
C3_D4,28105,25,20,5,0,0.8
C3_D8,28101,25,18,7,0,0.72
C3_D8,28102,25,14,11,0,0.56
C3_D8,28103,25,15,10,0,0.6
C3_D8,28104,25,14,11,0,0.56
C3_D8,28105,25,20,5,0,0.8
C4_D4,28101,25,16,9,0,0.64
C4_D4,28102,25,12,13,0,0.48
C4_D4,28103,25,14,11,0,0.56
C4_D4,28104,25,12,13,0,0.48
C4_D4,28105,25,17,8,0,0.68
C4_D8,28101,25,20,5,0,0.8
C4_D8,28102,25,19,6,0,0.76
C4_D8,28103,25,19,6,0,0.76
C4_D8,28104,25,18,7,0,0.72
C4_D8,28105,25,21,4,0,0.84
C5_D4,28101,25,15,10,0,0.6
C5_D4,28102,25,13,12,0,0.52
C5_D4,28103,25,13,12,0,0.52
C5_D4,28104,25,13,12,0,0.52
C5_D4,28105,25,18,7,0,0.72
C5_D8,28101,25,19,6,0,0.76
C5_D8,28102,25,18,7,0,0.72
C5_D8,28103,25,18,7,0,0.72
C5_D8,28104,25,13,12,0,0.52
C5_D8,28105,25,20,5,0,0.8
C6_D4,28101,25,17,8,0,0.68
C6_D4,28102,25,16,9,0,0.64
C6_D4,28103,25,16,9,0,0.64
C6_D4,28104,25,13,12,0,0.52
C6_D4,28105,25,19,6,0,0.76
C6_D8,28101,25,17,8,0,0.68
C6_D8,28102,25,16,9,0,0.64
C6_D8,28103,25,16,9,0,0.64
C6_D8,28104,25,14,11,0,0.56
C6_D8,28105,25,18,7,0,0.72
