condition_key,scene_family,n,v16_retrieve_now,v16_rearrange_first,v16_invalid,v18_accessible,v18_blocked,v18_invalid,positive_rate_delta_pp,valid_pairs,invalid_pairs,unchanged_accessible,unchanged_blocked,blocked_to_accessible,accessible_to_blocked,changed_valid_pairs,net_accessible_change
C0,FC_CLEAR,25,25,0,0,25,0,0,0.0,25,0,25,0,0,0,0,0
C0,FC_BLOCKED,25,19,6,0,25,0,0,24.0,25,0,19,0,6,0,6,6
C0,TRANSLATE,25,2,23,0,0,25,0,-8.0,25,0,0,23,0,2,2,-2
C0,ROTATE,25,1,24,0,0,25,0,-4.0,25,0,0,24,0,1,1,-1
C0,LIFT_AND_RELOCATE,25,0,25,0,0,25,0,0.0,25,0,0,25,0,0,0,0
C1,FC_CLEAR,25,20,5,0,25,0,0,19.999999999999996,25,0,20,0,5,0,5,5
C1,FC_BLOCKED,25,13,12,0,20,5,0,28.000000000000004,25,0,13,5,7,0,7,7
C1,TRANSLATE,25,5,20,0,1,24,0,-16.0,25,0,0,19,1,5,6,-4
C1,ROTATE,25,1,24,0,6,19,0,20.0,25,0,1,19,5,0,5,5
C1,LIFT_AND_RELOCATE,25,0,25,0,4,21,0,16.0,25,0,0,21,4,0,4,4
C2_D4,FC_CLEAR,25,25,0,0,25,0,0,0.0,25,0,25,0,0,0,0,0
C2_D4,FC_BLOCKED,25,16,9,0,16,9,0,0.0,25,0,13,6,3,3,6,0
C2_D4,TRANSLATE,25,0,25,0,0,25,0,0.0,25,0,0,25,0,0,0,0
C2_D4,ROTATE,25,0,25,0,12,13,0,48.0,25,0,0,13,12,0,12,12
C2_D4,LIFT_AND_RELOCATE,25,0,25,0,0,25,0,0.0,25,0,0,25,0,0,0,0
C2_D8,FC_CLEAR,25,24,1,0,25,0,0,4.0000000000000036,25,0,24,0,1,0,1,1
C2_D8,FC_BLOCKED,25,7,18,0,13,12,0,24.0,25,0,6,11,7,1,8,6
C2_D8,TRANSLATE,25,0,25,0,1,24,0,4.0,25,0,0,24,1,0,1,1
C2_D8,ROTATE,25,0,25,0,6,19,0,24.0,25,0,0,19,6,0,6,6
C2_D8,LIFT_AND_RELOCATE,25,0,25,0,0,25,0,0.0,25,0,0,25,0,0,0,0
C3_D4,FC_CLEAR,25,22,3,0,25,0,0,12.0,25,0,22,0,3,0,3,3
C3_D4,FC_BLOCKED,25,22,3,0,25,0,0,12.0,25,0,22,0,3,0,3,3
C3_D4,TRANSLATE,25,4,21,0,12,13,0,31.999999999999996,25,0,2,11,10,2,12,8
C3_D4,ROTATE,25,4,21,0,11,14,0,28.000000000000004,25,0,1,11,10,3,13,7
C3_D4,LIFT_AND_RELOCATE,25,5,20,0,7,18,0,8.000000000000002,25,0,2,15,5,3,8,2
C3_D8,FC_CLEAR,25,25,0,0,25,0,0,0.0,25,0,25,0,0,0,0,0
C3_D8,FC_BLOCKED,25,21,4,0,25,0,0,16.000000000000004,25,0,21,0,4,0,4,4
C3_D8,TRANSLATE,25,5,20,0,12,13,0,27.999999999999996,25,0,4,12,8,1,9,7
C3_D8,ROTATE,25,4,21,0,5,20,0,4.000000000000001,25,0,1,17,4,3,7,1
C3_D8,LIFT_AND_RELOCATE,25,1,24,0,14,11,0,52.0,25,0,1,11,13,0,13,13
C4_D4,FC_CLEAR,25,16,9,0,25,0,0,36.0,25,0,16,0,9,0,9,9
C4_D4,FC_BLOCKED,25,13,12,0,25,0,0,48.0,25,0,13,0,12,0,12,12
C4_D4,TRANSLATE,25,2,23,0,12,13,0,40.0,25,0,2,13,10,0,10,10
C4_D4,ROTATE,25,2,23,0,6,19,0,15.999999999999998,25,0,1,18,5,1,6,4
