scene,C1,C2,C3,C4,C5,B1,B2,B3,B4,B5,T1,T2,T3,T4,T5,R1,R2,R3,R4,R5,L1,L2,L3,L4,L5
C1,1.0000000000,0.7585022880,0.8332174121,0.7053084577,0.5204892888,-0.3154046648,-0.0604186146,-0.0915581110,0.5360397108,-0.4031017468,-0.5540353969,-0.6625571973,-0.5223200060,-0.6478104606,-0.4431052998,-0.3339731162,0.3378954439,0.4259020610,0.1156484692,0.0741765968,0.0644770027,-0.6915807501,-0.4162460773,-0.4920209026,-0.6415220761
C2,0.7585022880,1.0000000000,0.8208076598,0.8097528766,0.6471704061,-0.3292281269,-0.0948461244,-0.1688328256,0.5641421388,-0.4818398817,-0.6679319833,-0.8390424489,-0.4724252175,-0.6287937181,-0.4814638191,-0.0345968619,0.5063733383,0.4820613356,0.3686147837,0.3009475113,0.0349115250,-0.8270871410,-0.4066000356,-0.7239421687,-0.5145374282
C3,0.8332174121,0.8208076598,1.0000000000,0.7084040690,0.4250380188,-0.5303122740,-0.3082243888,-0.3074784369,0.5758691846,-0.5649341920,-0.5927887788,-0.7611338697,-0.5640691139,-0.7319743378,-0.5969091571,-0.2532324355,0.5495764353,0.6107149302,0.2205256026,0.2691451414,0.2612106312,-0.7655408545,-0.2891778666,-0.6273092467,-0.5321997053
C4,0.7053084577,0.8097528766,0.7084040690,1.0000000000,0.6247168648,-0.1568484640,0.2106407906,0.0796481536,0.4502508360,-0.1384518428,-0.5806022181,-0.7326100329,-0.2699120350,-0.5700014605,-0.1943144335,-0.1130943296,0.2044570923,0.1995263795,0.1967768730,0.0749472863,-0.2194303596,-0.7035252298,-0.6218737940,-0.5355623535,-0.6185616545
C5,0.5204892888,0.6471704061,0.4250380188,0.6247168648,1.0000000000,0.1045267950,0.2887772968,0.2760233986,0.4100560627,-0.0597804376,-0.5945391611,-0.6241520853,-0.2265167621,-0.3520933404,0.0019154340,0.1688053816,0.1473048625,0.0230280510,0.2411985204,0.1569325748,-0.3805292249,-0.6025877001,-0.5675117200,-0.4404460602,-0.4955221302
B1,-0.3154046648,-0.3292281269,-0.5303122740,-0.1568484640,0.1045267950,1.0000000000,0.5511607912,0.6515788682,-0.4741597993,0.6280472315,0.2530194554,0.3060502477,0.2654764449,0.4651199640,0.5103081965,0.2762843024,-0.4783058219,-0.6024302348,-0.1710208774,-0.2128067928,-0.6256942967,0.2138268787,-0.2022602473,0.2782914723,-0.0332788812
B2,-0.0604186146,-0.0948461244,-0.3082243888,0.2106407906,0.2887772968,0.5511607912,1.0000000000,0.6937659226,-0.2586332564,0.7136179239,0.0328399394,0.0674890619,0.3831267642,0.2130910447,0.6850230484,0.0378715440,-0.6125063432,-0.6256159093,-0.2185347973,-0.4288332339,-0.7382385256,0.1115774576,-0.5316748455,0.2564927732,-0.2369078311
B3,-0.0915581110,-0.1688328256,-0.3074784369,0.0796481536,0.2760233986,0.6515788682,0.6937659226,1.0000000000,-0.3079013102,0.6317583341,0.0478890534,0.1131737228,0.3128215080,0.2649134076,0.6623022737,0.1667703395,-0.5759271099,-0.6447514692,-0.0867920381,-0.2898395424,-0.7446960185,0.1068562004,-0.4822787375,0.2581818792,-0.2435346859
B4,0.5360397108,0.5641421388,0.5758691846,0.4502508360,0.4100560627,-0.4741597993,-0.2586332564,-0.3079013102,1.0000000000,-0.5132382174,-0.5741161814,-0.5125522614,-0.2903469391,-0.5596921557,-0.5088567060,-0.2479606777,0.3791146040,0.3899297413,0.0733673504,0.0430009258,0.3356721585,-0.4320825603,-0.0185385689,-0.5417992628,-0.1622707416
B5,-0.4031017468,-0.4818398817,-0.5649341920,-0.1384518428,-0.0597804376,0.6280472315,0.7136179239,0.6317583341,-0.5132382174,1.0000000000,0.4224393588,0.4507904463,0.4788881668,0.4699711019,0.7820241607,0.0282820711,-0.7739137260,-0.7690039877,-0.3625198903,-0.4999606331,-0.7014565517,0.3991172044,-0.3300338600,0.5834111671,-0.0599040066
T1,-0.5540353969,-0.6679319833,-0.5927887788,-0.5806022181,-0.5945391611,0.2530194554,0.0328399394,0.0478890534,-0.5741161814,0.4224393588,1.0000000000,0.7580490132,0.1565290222,0.5960450214,0.2220646408,-0.1308584859,-0.4865434278,-0.4108023544,-0.3902237408,-0.3816900809,-0.0633338864,0.5681239835,0.1635716317,0.6435876792,0.2227660122
T2,-0.6625571973,-0.8390424489,-0.7611338697,-0.7326100329,-0.6241520853,0.3060502477,0.0674890619,0.1131737228,-0.5125522614,0.4507904463,0.7580490132,1.0000000000,0.4338257722,0.5281022965,0.3917197863,-0.1506252861,-0.6069454931,-0.5639474814,-0.4941182792,-0.4476648055,-0.0297149305,0.7926251575,0.3561692464,0.7249483390,0.4426911041
T3,-0.5223200060,-0.4724252175,-0.5640691139,-0.2699120350,-0.2265167621,0.2654764449,0.3831267642,0.3128215080,-0.2903469391,0.4788881668,0.1565290222,0.4338257722,1.0000000000,0.3022218010,0.6016445881,0.1044834255,-0.5223681231,-0.5938576740,-0.2721529824,-0.1909851603,-0.3547206468,0.5135853369,0.0884617864,0.2362706025,0.4292291424
T4,-0.6478104606,-0.6287937181,-0.7319743378,-0.5700014605,-0.3520933404,0.4651199640,0.2130910447,0.2649134076,-0.5596921557,0.4699711019,0.5960450214,0.5281022965,0.3022218010,1.0000000000,0.4748734064,0.3083651817,-0.4792831489,-0.4971390529,-0.1228080914,-0.1821984576,-0.2739594843,0.4913198236,0.0603731631,0.5108623033,0.3308893742
T5,-0.4431052998,-0.4814638191,-0.5969091571,-0.1943144335,0.0019154340,0.5103081965,0.6850230484,0.6623022737,-0.5088567060,0.7820241607,0.2220646408,0.3917197863,0.6016445881,0.4748734064,1.0000000000,0.2005236123,-0.6633373940,-0.7633431537,-0.1688227276,-0.3401777726,-0.7151769634,0.4500967375,-0.3286219915,0.5352798094,0.0367566257
R1,-0.3339731162,-0.0345968619,-0.2532324355,-0.1130943296,0.1688053816,0.2762843024,0.0378715440,0.1667703395,-0.2479606777,0.0282820711,-0.1308584859,-0.1506252861,0.1044834255,0.3083651817,0.2005236123,1.0000000000,0.0968904379,-0.0331589111,0.4131105680,0.3826932877,-0.2666933237,-0.0972847223,-0.0504696636,-0.1224830477,0.2046928753
R2,0.3378954439,0.5063733383,0.5495764353,0.2044570923,0.1473048625,-0.4783058219,-0.6125063432,-0.5759271099,0.3791146040,-0.7739137260,-0.4865434278,-0.6069454931,-0.5223681231,-0.4792831489,-0.6633373940,0.0968904379,1.0000000000,0.8206711767,0.5318858666,0.6203699654,0.4964205484,-0.4978948861,0.2262724490,-0.6329831404,-0.1028511620
R3,0.4259020610,0.4820613356,0.6107149302,0.1995263795,0.0230280510,-0.6024302348,-0.6256159093,-0.6447514692,0.3899297413,-0.7690039877,-0.4108023544,-0.5639474814,-0.5938576740,-0.4971390529,-0.7633431537,-0.0331589111,0.8206711767,1.0000000000,0.3933212463,0.4620772641,0.6200107242,-0.5192219112,0.2294202036,-0.5224611224,-0.1377102510
R4,0.1156484692,0.3686147837,0.2205256026,0.1967768730,0.2411985204,-0.1710208774,-0.2185347973,-0.0867920381,0.0733673504,-0.3625198903,-0.3902237408,-0.4941182792,-0.2721529824,-0.1228080914,-0.1688227276,0.4131105680,0.5318858666,0.3933212463,1.0000000000,0.4629466824,0.0233174010,-0.3833635305,-0.1166110217,-0.3892610860,-0.1738218728
R5,0.0741765968,0.3009475113,0.2691451414,0.0749472863,0.1569325748,-0.2128067928,-0.4288332339,-0.2898395424,0.0430009258,-0.4999606331,-0.3816900809,-0.4476648055,-0.1909851603,-0.1821984576,-0.3401777726,0.3826932877,0.6203699654,0.4620772641,0.4629466824,1.0000000000,0.1860596824,-0.3983676762,0.1597919884,-0.4965661265,0.0570793962
L1,0.0644770027,0.0349115250,0.2612106312,-0.2194303596,-0.3805292249,-0.6256942967,-0.7382385256,-0.7446960185,0.3356721585,-0.7014565517,-0.0633338864,-0.0297149305,-0.3547206468,-0.2739594843,-0.7151769634,-0.2666933237,0.4964205484,0.6200107242,0.0233174010,0.1860596824,1.0000000000,-0.0498936772,0.6002077172,-0.2529414067,0.3126325606
L2,-0.6915807501,-0.8270871410,-0.7655408545,-0.7035252298,-0.6025877001,0.2138268787,0.1115774576,0.1068562004,-0.4320825603,0.3991172044,0.5681239835,0.7926251575,0.5135853369,0.4913198236,0.4500967375,-0.0972847223,-0.4978948861,-0.5192219112,-0.3833635305,-0.3983676762,-0.0498936772,1.0000000000,0.3928589442,0.6671997234,0.5450534128
L3,-0.4162460773,-0.4066000356,-0.2891778666,-0.6218737940,-0.5675117200,-0.2022602473,-0.5316748455,-0.4822787375,-0.0185385689,-0.3300338600,0.1635716317,0.3561692464,0.0884617864,0.0603731631,-0.3286219915,-0.0504696636,0.2262724490,0.2294202036,-0.1166110217,0.1597919884,0.6002077172,0.3928589442,1.0000000000,0.0297874718,0.6388165268
L4,-0.4920209026,-0.7239421687,-0.6273092467,-0.5355623535,-0.4404460602,0.2782914723,0.2564927732,0.2581818792,-0.5417992628,0.5834111671,0.6435876792,0.7249483390,0.2362706025,0.5108623033,0.5352798094,-0.1224830477,-0.6329831404,-0.5224611224,-0.3892610860,-0.4965661265,-0.2529414067,0.6671997234,0.0297874718,1.0000000000,0.1072015098
L5,-0.6415220761,-0.5145374282,-0.5321997053,-0.6185616545,-0.4955221302,-0.0332788812,-0.2369078311,-0.2435346859,-0.1622707416,-0.0599040066,0.2227660122,0.4426911041,0.4292291424,0.3308893742,0.0367566257,0.2046928753,-0.1028511620,-0.1377102510,-0.1738218728,0.0570793962,0.3126325606,0.5450534128,0.6388165268,0.1072015098,1.0000000000
