scene,C1,C2,C3,C4,C5,B1,B2,B3,B4,B5,T1,T2,T3,T4,T5,R1,R2,R3,R4,R5,L1,L2,L3,L4,L5
C1,1.0000000000,0.9903445729,0.9966091027,0.9895203927,0.9861018022,0.9685513010,0.9840621835,0.9707452372,0.9805955599,0.9557273951,0.9557487921,0.9496520170,0.9832585074,0.9671628577,0.9514987549,0.9714417424,0.9817658763,0.9790854527,0.9807233936,0.9792565044,0.9762729663,0.9697927547,0.9758224140,0.9596650609,0.9735986582
C2,0.9903445729,1.0000000000,0.9906894280,0.9952797859,0.9922699981,0.9833255812,0.9956019025,0.9869453401,0.9933195473,0.9762404188,0.9692496739,0.9692303027,0.9916247212,0.9815575643,0.9704685604,0.9849470013,0.9897731566,0.9893041620,0.9911402110,0.9914315590,0.9869908128,0.9799958233,0.9834758384,0.9764453586,0.9794426013
C3,0.9966091027,0.9906894280,1.0000000000,0.9918714833,0.9887425091,0.9683583903,0.9835215072,0.9747916925,0.9811499283,0.9610013278,0.9565604673,0.9519124966,0.9821564477,0.9692427957,0.9567339109,0.9751752069,0.9802758593,0.9801780481,0.9819323261,0.9787007207,0.9753994560,0.9682837280,0.9724664123,0.9623517545,0.9693811900
C4,0.9895203927,0.9952797859,0.9918714833,1.0000000000,0.9961348830,0.9840781256,0.9930128940,0.9904489498,0.9926600804,0.9814286076,0.9723926056,0.9734670711,0.9901300245,0.9855403612,0.9766974823,0.9894352581,0.9886425457,0.9914765116,0.9926941400,0.9892012656,0.9875115234,0.9814115394,0.9817852591,0.9805513645,0.9784045688
C5,0.9861018022,0.9922699981,0.9887425091,0.9961348830,1.0000000000,0.9864070998,0.9913711034,0.9923944889,0.9917024471,0.9860275686,0.9748835113,0.9783309323,0.9908401991,0.9887014261,0.9824810267,0.9927886288,0.9883567717,0.9940823032,0.9936338238,0.9898252454,0.9885356337,0.9825020876,0.9818591726,0.9852083510,0.9784632977
B1,0.9685513010,0.9833255812,0.9683583903,0.9840781256,0.9864070998,1.0000000000,0.9910823421,0.9897910320,0.9937646085,0.9890194880,0.9880462031,0.9925961276,0.9920462247,0.9941580175,0.9871967990,0.9907127163,0.9932744685,0.9930893635,0.9919983810,0.9920565523,0.9956331823,0.9941442410,0.9932474877,0.9919208601,0.9909876715
B2,0.9840621835,0.9956019025,0.9835215072,0.9930128940,0.9913711034,0.9910823421,1.0000000000,0.9887634347,0.9947225222,0.9799102807,0.9780182141,0.9778169138,0.9946028452,0.9885449737,0.9757206527,0.9892274919,0.9935766182,0.9934206020,0.9947313432,0.9957462898,0.9921919778,0.9869766985,0.9898010818,0.9835062108,0.9861111864
B3,0.9707452372,0.9869453401,0.9747916925,0.9904489498,0.9923944889,0.9897910320,0.9887634347,1.0000000000,0.9921559113,0.9932086814,0.9807396150,0.9882000594,0.9894109929,0.9925525973,0.9921701329,0.9953531384,0.9868670766,0.9934353249,0.9931169466,0.9902656408,0.9896842218,0.9849091733,0.9812180561,0.9923076426,0.9771254989
B4,0.9805955599,0.9933195473,0.9811499283,0.9926600804,0.9917024471,0.9937646085,0.9947225222,0.9921559113,1.0000000000,0.9887691010,0.9785004715,0.9843567232,0.9937213813,0.9897679261,0.9835413205,0.9901392339,0.9944733600,0.9928097075,0.9933932390,0.9934357043,0.9948931361,0.9905014103,0.9911021650,0.9855508042,0.9873395991
B5,0.9557273951,0.9762404188,0.9610013278,0.9814286076,0.9860275686,0.9890194880,0.9799102807,0.9932086814,0.9887691010,1.0000000000,0.9780109589,0.9909265962,0.9808577342,0.9894630243,0.9939745397,0.9910411796,0.9805774409,0.9868521945,0.9852594359,0.9818578306,0.9860761642,0.9814188032,0.9757996757,0.9904618574,0.9716582799
T1,0.9557487921,0.9692496739,0.9565604673,0.9723926056,0.9748835113,0.9880462031,0.9780182141,0.9807396150,0.9785004715,0.9780109589,1.0000000000,0.9901611834,0.9835853636,0.9921818354,0.9808154056,0.9835687985,0.9801344246,0.9853256278,0.9828208917,0.9826368412,0.9859878195,0.9877365671,0.9826274485,0.9904839686,0.9836066489
T2,0.9496520170,0.9692303027,0.9519124966,0.9734670711,0.9783309323,0.9925961276,0.9778169138,0.9882000594,0.9843567232,0.9909265962,0.9901611834,1.0000000000,0.9825964829,0.9933190781,0.9929937370,0.9888836561,0.9822674958,0.9870681403,0.9846023660,0.9838238758,0.9892575187,0.9895034012,0.9828421018,0.9940790882,0.9813349282
T3,0.9832585074,0.9916247212,0.9821564477,0.9901300245,0.9908401991,0.9920462247,0.9946028452,0.9894109929,0.9937213813,0.9808577342,0.9835853636,0.9825964829,1.0000000000,0.9919437858,0.9794567437,0.9899680000,0.9947676147,0.9954062214,0.9951435935,0.9962658755,0.9944054725,0.9918526692,0.9934257264,0.9871426234,0.9918528455
