scene,C1,C2,C3,C4,C5,B1,B2,B3,B4,B5,T1,T2,T3,T4,T5,R1,R2,R3,R4,R5,L1,L2,L3,L4,L5
C1,1.0000000000,0.0174912354,0.7531410767,0.7827507516,0.8587780328,-0.5351325219,-0.4166905246,0.0152292320,-0.0192725247,0.5567599326,0.1330510883,0.5114943965,-0.6072910749,0.2203271439,0.0542316715,-0.0967563682,-0.5613191574,-0.5002743659,-0.6609562369,-0.7511510127,-0.1651420505,-0.3856181996,-0.7498336693,0.0041258568,-0.7471059037
C2,0.0174912354,1.0000000000,0.0839676845,0.0335366492,0.0308928980,0.0790770569,-0.2618708897,0.0987430630,-0.4814699314,0.0313980630,0.2503673200,0.1149625586,-0.0233488298,0.0061020594,-0.1234196132,0.0285900058,-0.0504300807,0.0280676681,-0.0357476259,-0.0786084580,-0.2449851931,-0.2286847012,-0.2086243584,0.1008601466,-0.1983733300
C3,0.7531410767,0.0839676845,1.0000000000,0.6198988865,0.7665046935,-0.5080407165,-0.2972898137,-0.0407420370,-0.1784909032,0.5628857047,0.2579623652,0.4741586891,-0.4368168289,0.1075668200,-0.0094229846,-0.0533800583,-0.5923023249,-0.4164663676,-0.6336414990,-0.6328905110,-0.3547618654,-0.5550739261,-0.7445706466,0.0861428325,-0.6996128060
C4,0.7827507516,0.0335366492,0.6198988865,1.0000000000,0.7580244519,-0.4675868607,-0.3418750265,0.1257085848,0.1334541110,0.5371820218,0.1150076876,0.4398525294,-0.4830252350,0.2289745572,-0.0453584200,-0.0325763890,-0.6184409963,-0.4864915347,-0.6201450415,-0.7713891062,-0.2452677427,-0.4239043003,-0.6582646345,-0.0060676325,-0.6915252466
C5,0.8587780328,0.0308928980,0.7665046935,0.7580244519,1.0000000000,-0.5571324454,-0.3572816200,0.0564459350,-0.0320744230,0.6650449572,0.1883324653,0.4829259967,-0.5767879061,0.1774532438,-0.0105911192,-0.1156941826,-0.6187102107,-0.5022825488,-0.6912746535,-0.7387442017,-0.2030666094,-0.4520337094,-0.7501047248,0.0267604111,-0.7562848798
B1,-0.5351325219,0.0790770569,-0.5080407165,-0.4675868607,-0.5571324454,1.0000000000,0.4180793691,0.2855297948,0.0159882679,-0.4125228665,-0.3551823528,-0.4220406610,0.3415338767,-0.3175735220,0.0536696077,-0.1210137143,0.3420945469,0.3686549256,0.4317370410,0.3514243368,0.0735082047,0.2692211277,0.3970698728,-0.3436871551,0.4899258691
B2,-0.4166905246,-0.2618708897,-0.2972898137,-0.3418750265,-0.3572816200,0.4180793691,1.0000000000,0.1068920827,0.2722648603,-0.2510906008,-0.2431294974,-0.3765379277,0.2507444869,-0.0992285910,-0.0503797646,0.0837466435,0.0734866530,0.1059893407,0.2729462088,0.3177861743,-0.0599061824,-0.0588917227,0.3582308125,-0.0343923714,0.2835140482
B3,0.0152292320,0.0987430630,-0.0407420370,0.1257085848,0.0564459350,0.2855297948,0.1068920827,1.0000000000,0.1919208938,-0.0212350393,-0.2171429172,-0.0846344711,-0.0203445638,-0.2902991129,0.1492775646,-0.3711175530,-0.0640167844,0.0143027742,0.0606256821,-0.2092439732,0.0775747934,0.0463930978,-0.0525665542,-0.4470015667,-0.1381923861
B4,-0.0192725247,-0.4814699314,-0.1784909032,0.1334541110,-0.0320744230,0.0159882679,0.2722648603,0.1919208938,1.0000000000,-0.0758897347,-0.3971264296,-0.1379897542,0.0006365902,0.0687628033,0.0395350246,-0.0872260667,-0.0756956836,-0.1740992062,-0.0112185940,-0.0840956396,0.1541003877,0.1232488183,0.2354624033,-0.1043021960,0.0273503987
B5,0.5567599326,0.0313980630,0.5628857047,0.5371820218,0.6650449572,-0.4125228665,-0.2510906008,-0.0212350393,-0.0758897347,1.0000000000,0.1379039891,0.4226674699,-0.4212593093,0.0921523881,-0.0743873739,-0.0556239576,-0.5198676569,-0.3704864285,-0.5201822939,-0.6426870995,-0.1830990444,-0.3956523701,-0.6100707164,0.0546862818,-0.5634021425
T1,0.1330510883,0.2503673200,0.2579623652,0.1150076876,0.1883324653,-0.3551823528,-0.2431294974,-0.2171429172,-0.3971264296,0.1379039891,1.0000000000,0.0483794448,-0.1655284075,-0.0011538805,-0.1661632260,-0.0105566851,-0.0081749503,-0.1684281086,-0.0856999818,0.0283262010,-0.2322428167,-0.2531657840,-0.2826810511,0.0886930391,-0.2413282913
T2,0.5114943965,0.1149625586,0.4741586891,0.4398525294,0.4829259967,-0.4220406610,-0.3765379277,-0.0846344711,-0.1379897542,0.4226674699,0.0483794448,1.0000000000,-0.3594510533,0.2138071746,-0.0520220452,0.0449403291,-0.4400816989,-0.4066295342,-0.5121637273,-0.5611466574,-0.0482179589,-0.3156624308,-0.4948133154,0.1945924826,-0.4877318570
T3,-0.6072910749,-0.0233488298,-0.4368168289,-0.4830252350,-0.5767879061,0.3415338767,0.2507444869,-0.0203445638,0.0006365902,-0.4212593093,-0.1655284075,-0.3594510533,1.0000000000,-0.2504839716,-0.1249565138,-0.0546254350,0.2288705131,0.5229645456,0.2966234311,0.4801872585,-0.1108596695,0.0698015642,0.4609188354,-0.1431886538,0.5139999906
T4,0.2203271439,0.0061020594,0.1075668200,0.2289745572,0.1774532438,-0.3175735220,-0.0992285910,-0.2902991129,0.0687628033,0.0921523881,-0.0011538805,0.2138071746,-0.2504839716,1.0000000000,-0.0338287459,0.2908921129,-0.1791771861,-0.3193143654,-0.3401589379,-0.2128544050,-0.1652025266,-0.2151269908,-0.1891302101,0.4643381130,-0.2264768876
T5,0.0542316715,-0.1234196132,-0.0094229846,-0.0453584200,-0.0105911192,0.0536696077,-0.0503797646,0.1492775646,0.0395350246,-0.0743873739,-0.1661632260,-0.0520220452,-0.1249565138,-0.0338287459,1.0000000000,-0.3476470494,0.1989367102,0.0978123945,0.0855270944,-0.0915378918,0.1767858600,0.1215864757,-0.0993211268,-0.1216655048,-0.1710892231
R1,-0.0967563682,0.0285900058,-0.0533800583,-0.0325763890,-0.1156941826,-0.1210137143,0.0837466435,-0.3711175530,-0.0872260667,-0.0556239576,-0.0105566851,0.0449403291,-0.0546254350,0.2908921129,-0.3476470494,1.0000000000,-0.1588476248,-0.1498575333,-0.0386214051,0.0609832040,-0.1952849279,-0.2022250231,0.1126986661,0.5101953847,0.1402444501
R2,-0.5613191574,-0.0504300807,-0.5923023249,-0.6184409963,-0.6187102107,0.3420945469,0.0734866530,-0.0640167844,-0.0756956836,-0.5198676569,-0.0081749503,-0.4400816989,0.2288705131,-0.1791771861,0.1989367102,-0.1588476248,1.0000000000,0.3485727598,0.6330005968,0.5436262101,0.2754598564,0.4956592392,0.5282331620,-0.1666177674,0.4528899820
R3,-0.5002743659,0.0280676681,-0.4164663676,-0.4864915347,-0.5022825488,0.3686549256,0.1059893407,0.0143027742,-0.1740992062,-0.3704864285,-0.1684281086,-0.4066295342,0.5229645456,-0.3193143654,0.0978123945,-0.1498575333,0.3485727598,1.0000000000,0.3286041133,0.3810403717,0.0921359830,0.3073630223,0.2367906375,-0.2122613091,0.4324216172
R4,-0.6609562369,-0.0357476259,-0.6336414990,-0.6201450415,-0.6912746535,0.4317370410,0.2729462088,0.0606256821,-0.0112185940,-0.5201822939,-0.0856999818,-0.5121637273,0.2966234311,-0.3401589379,0.0855270944,-0.0386214051,0.6330005968,0.3286041133,1.0000000000,0.5995817084,0.2259963955,0.3678791775,0.6400161926,-0.1861280387,0.5304392499
