scene,C1,C2,C3,C4,C5,B1,B2,B3,B4,B5,T1,T2,T3,T4,T5,R1,R2,R3,R4,R5,L1,L2,L3,L4,L5
C1,1.0000000000,0.9901331371,0.9949163234,0.9965478619,0.9975061045,0.9844397556,0.9863744602,0.9902304939,0.9899357393,0.9933602523,0.9884914254,0.9940748425,0.9784374901,0.9918346650,0.9911382599,0.9891037065,0.9854052273,0.9836199517,0.9840565195,0.9772859894,0.9893217380,0.9865840514,0.9825590956,0.9903397299,0.9773535582
C2,0.9901331371,1.0000000000,0.9892850470,0.9922230945,0.9906070805,0.9948204483,0.9939864229,0.9958885343,0.9928849804,0.9925415149,0.9949851262,0.9941644164,0.9913278236,0.9951203177,0.9952216639,0.9951306439,0.9947935759,0.9941669428,0.9947703656,0.9913239055,0.9940979155,0.9935274749,0.9933384566,0.9959646997,0.9903419664
C3,0.9949163234,0.9892850470,1.0000000000,0.9930842969,0.9952582087,0.9827928478,0.9855723679,0.9880619118,0.9866898680,0.9923908472,0.9885431963,0.9926838733,0.9789503605,0.9892755063,0.9890752233,0.9879499424,0.9830719520,0.9825179479,0.9821685438,0.9767345595,0.9857734302,0.9827829466,0.9804066262,0.9895613290,0.9756625420
C4,0.9965478619,0.9922230945,0.9930842969,1.0000000000,0.9963029607,0.9876992325,0.9895019796,0.9930576455,0.9931252661,0.9942938531,0.9903377402,0.9944549397,0.9831284439,0.9936081508,0.9923423598,0.9917072996,0.9875154312,0.9865036512,0.9872031570,0.9803420426,0.9907394220,0.9886174187,0.9863373955,0.9922558825,0.9813413156
C5,0.9975061045,0.9906070805,0.9952582087,0.9963029607,1.0000000000,0.9846660966,0.9873488601,0.9909399529,0.9901772669,0.9951096983,0.9895293837,0.9939512547,0.9794280406,0.9917481046,0.9909653582,0.9892966401,0.9853093649,0.9840739355,0.9842509223,0.9780437373,0.9893522839,0.9863366160,0.9830722312,0.9908855429,0.9777936106
B1,0.9844397556,0.9948204483,0.9827928478,0.9876992325,0.9846660966,1.0000000000,0.9967723434,0.9962825666,0.9944599668,0.9886124346,0.9902892746,0.9896285605,0.9933792437,0.9925032381,0.9951657403,0.9933690532,0.9958923582,0.9956100663,0.9964623540,0.9936510225,0.9945826326,0.9952683609,0.9958292320,0.9928947696,0.9948712625
B2,0.9863744602,0.9939864229,0.9855723679,0.9895019796,0.9873488601,0.9967723434,1.0000000000,0.9960127598,0.9965650162,0.9906237087,0.9918807237,0.9911874902,0.9934635067,0.9947067988,0.9956134132,0.9954750912,0.9954542901,0.9946780020,0.9963820915,0.9943396791,0.9950424413,0.9944818804,0.9965885608,0.9954511234,0.9940583095
B3,0.9902304939,0.9958885343,0.9880619118,0.9930576455,0.9909399529,0.9962825666,0.9960127598,1.0000000000,0.9963595220,0.9923352096,0.9921683242,0.9931896460,0.9917223583,0.9940316268,0.9966323554,0.9935411162,0.9950965851,0.9943991183,0.9955882540,0.9907991450,0.9959635749,0.9953417335,0.9946384698,0.9939254080,0.9912740917
B4,0.9899357393,0.9928849804,0.9866898680,0.9931252661,0.9901772669,0.9944599668,0.9965650162,0.9963595220,1.0000000000,0.9918484758,0.9907887813,0.9926276498,0.9915230354,0.9954800627,0.9959527546,0.9945956819,0.9946801545,0.9930120365,0.9949185750,0.9912808244,0.9960389940,0.9954331934,0.9958928210,0.9951026451,0.9920910040
B5,0.9933602523,0.9925415149,0.9923908472,0.9942938531,0.9951096983,0.9886124346,0.9906237087,0.9923352096,0.9918484758,1.0000000000,0.9910026704,0.9944779905,0.9843707793,0.9928425625,0.9924977357,0.9918616379,0.9887691295,0.9880749031,0.9884955398,0.9824895791,0.9915615003,0.9892624929,0.9872334363,0.9930305457,0.9834437313
T1,0.9884914254,0.9949851262,0.9885431963,0.9903377402,0.9895293837,0.9902892746,0.9918807237,0.9921683242,0.9907887813,0.9910026704,1.0000000000,0.9918024887,0.9885075243,0.9931712091,0.9930101677,0.9931922431,0.9936908075,0.9910412455,0.9929260202,0.9912170873,0.9922686801,0.9915338779,0.9912091122,0.9942117244,0.9883727280
T2,0.9940748425,0.9941644164,0.9926838733,0.9944549397,0.9939512547,0.9896285605,0.9911874902,0.9931896460,0.9926276498,0.9944779905,0.9918024887,1.0000000000,0.9863100244,0.9947265165,0.9937599229,0.9936055939,0.9905439580,0.9892081569,0.9899093103,0.9848131572,0.9933821159,0.9909776158,0.9893280865,0.9949345602,0.9854878784
T3,0.9784374901,0.9913278236,0.9789503605,0.9831284439,0.9794280406,0.9933792437,0.9934635067,0.9917223583,0.9915230354,0.9843707793,0.9885075243,0.9863100244,1.0000000000,0.9895372013,0.9911903599,0.9908048459,0.9928309638,0.9951506442,0.9934118524,0.9935427752,0.9904410804,0.9912842055,0.9945310473,0.9908531883,0.9939247168
T4,0.9918346650,0.9951203177,0.9892755063,0.9936081508,0.9917481046,0.9925032381,0.9947067988,0.9940316268,0.9954800627,0.9928425625,0.9931712091,0.9947265165,0.9895372013,1.0000000000,0.9955479483,0.9964215079,0.9941247328,0.9920561254,0.9931677361,0.9903070760,0.9944583553,0.9935861886,0.9934695545,0.9975571164,0.9901509690
