scene_a,scene_b,same_family,same_expected,same_majority,mid_raw,final_raw,final_minus_mid,mid_centered,final_centered
scene_fc_clear_v01,scene_fc_clear_v02,True,True,True,0.9901331371,0.9903445729,0.0002114357,0.0174912354,0.6883707625
scene_fc_clear_v01,scene_fc_clear_v03,True,True,True,0.9949163234,0.9966091027,0.0016927792,0.7531410767,0.9064326280
scene_fc_clear_v01,scene_fc_clear_v04,True,True,True,0.9965478619,0.9895203927,-0.0070274693,0.7827507516,0.6401221639
scene_fc_clear_v01,scene_fc_clear_v05,True,True,True,0.9975061045,0.9861018022,-0.0114043024,0.8587780328,0.4591980288
scene_fc_clear_v01,scene_fc_blocked_v01,False,False,False,0.9844397556,0.9685513010,-0.0158884547,-0.5351325219,-0.5517293297
scene_fc_clear_v01,scene_fc_blocked_v02,False,False,False,0.9863744602,0.9840621835,-0.0023122767,-0.4166905246,0.3753250999
scene_fc_clear_v01,scene_fc_blocked_v03,False,False,True,0.9902304939,0.9707452372,-0.0194852567,0.0152292320,-0.3312241080
scene_fc_clear_v01,scene_fc_blocked_v04,False,False,False,0.9899357393,0.9805955599,-0.0093401794,-0.0192725247,0.1442827412
scene_fc_clear_v01,scene_fc_blocked_v05,False,False,False,0.9933602523,0.9557273951,-0.0376328572,0.5567599326,-0.5774885749
scene_fc_clear_v01,scene_translate_v01,False,False,False,0.9884914254,0.9557487921,-0.0327426333,0.1330510883,-0.4551152913
scene_fc_clear_v01,scene_translate_v02,False,False,False,0.9940748425,0.9496520170,-0.0444228256,0.5114943965,-0.8129189446
scene_fc_clear_v01,scene_translate_v03,False,False,False,0.9784374901,0.9832585074,0.0048210173,-0.6072910749,0.3115191897
scene_fc_clear_v01,scene_translate_v04,False,False,False,0.9918346650,0.9671628577,-0.0246718073,0.2203271439,-0.6471982851
scene_fc_clear_v01,scene_translate_v05,False,False,False,0.9911382599,0.9514987549,-0.0396395050,0.0542316715,-0.6730722505
scene_fc_clear_v01,scene_rotate_v01,False,False,False,0.9891037065,0.9714417424,-0.0176619642,-0.0967563682,-0.3701880963
scene_fc_clear_v01,scene_rotate_v02,False,False,False,0.9854052273,0.9817658763,-0.0036393510,-0.5613191574,0.2406408917
scene_fc_clear_v01,scene_rotate_v03,False,False,False,0.9836199517,0.9790854527,-0.0045344990,-0.5002743659,-0.0875363770
scene_fc_clear_v01,scene_rotate_v04,False,False,False,0.9840565195,0.9807233936,-0.0033331259,-0.6609562369,0.0762878051
scene_fc_clear_v01,scene_rotate_v05,False,False,False,0.9772859894,0.9792565044,0.0019705149,-0.7511510127,0.0516784160
scene_fc_clear_v01,scene_lift_and_relocate_v01,False,False,False,0.9893217380,0.9762729663,-0.0130487717,-0.1651420505,-0.2056815773
scene_fc_clear_v01,scene_lift_and_relocate_v02,False,False,False,0.9865840514,0.9697927547,-0.0167912967,-0.3856181996,-0.2819065878
scene_fc_clear_v01,scene_lift_and_relocate_v03,False,False,False,0.9825590956,0.9758224140,-0.0067366816,-0.7498336693,0.0632270265
scene_fc_clear_v01,scene_lift_and_relocate_v04,False,False,False,0.9903397299,0.9596650609,-0.0306746690,0.0041258568,-0.7072145963
scene_fc_clear_v01,scene_lift_and_relocate_v05,False,False,False,0.9773535582,0.9735986582,-0.0037549001,-0.7471059037,0.0597896404
scene_fc_clear_v02,scene_fc_clear_v03,True,True,True,0.9892850470,0.9906894280,0.0014043810,0.0839676845,0.6842001859
scene_fc_clear_v02,scene_fc_clear_v04,True,True,True,0.9922230945,0.9952797859,0.0030566913,0.0335366492,0.6621523259
scene_fc_clear_v02,scene_fc_clear_v05,True,True,True,0.9906070805,0.9922699981,0.0016629176,0.0308928980,0.3969378704
scene_fc_clear_v02,scene_fc_blocked_v01,False,False,False,0.9948204483,0.9833255812,-0.0114948671,0.0790770569,-0.4643733899
scene_fc_clear_v02,scene_fc_blocked_v02,False,False,False,0.9939864229,0.9956019025,0.0016154796,-0.2618708897,0.6636493453
scene_fc_clear_v02,scene_fc_blocked_v03,False,False,True,0.9958885343,0.9869453401,-0.0089431942,0.0987430630,-0.0358630949
scene_fc_clear_v02,scene_fc_blocked_v04,False,False,False,0.9928849804,0.9933195473,0.0004345669,-0.4814699314,0.4309520078
scene_fc_clear_v02,scene_fc_blocked_v05,False,False,False,0.9925415149,0.9762404188,-0.0163010961,0.0313980630,-0.3279580511
scene_fc_clear_v02,scene_translate_v01,False,False,False,0.9949851262,0.9692496739,-0.0257354524,0.2503673200,-0.5482592396
scene_fc_clear_v02,scene_translate_v02,False,False,False,0.9941644164,0.9692303027,-0.0249341137,0.1149625586,-0.7355057061
scene_fc_clear_v02,scene_translate_v03,False,False,False,0.9913278236,0.9916247212,0.0002968976,-0.0233488298,0.2506871006
scene_fc_clear_v02,scene_translate_v04,False,False,False,0.9951203177,0.9815575643,-0.0135627534,0.0061020594,-0.6257820473
scene_fc_clear_v02,scene_translate_v05,False,False,False,0.9952216639,0.9704685604,-0.0247531035,-0.1234196132,-0.5820949331
scene_fc_clear_v02,scene_rotate_v01,False,False,False,0.9951306439,0.9849470013,-0.0101836426,0.0285900058,-0.2854605911
scene_fc_clear_v02,scene_rotate_v02,False,False,False,0.9947935759,0.9897731566,-0.0050204194,-0.0504300807,0.1261307891
scene_fc_clear_v02,scene_rotate_v03,False,False,False,0.9941669428,0.9893041620,-0.0048627808,0.0280676681,-0.1398356995
scene_fc_clear_v02,scene_rotate_v04,False,False,False,0.9947703656,0.9911402110,-0.0036301546,-0.0357476259,0.1297277536
scene_fc_clear_v02,scene_rotate_v05,False,False,False,0.9913239055,0.9914315590,0.0001076535,-0.0786084580,0.2446116693
scene_fc_clear_v02,scene_lift_and_relocate_v01,False,False,False,0.9940979155,0.9869908128,-0.0071071027,-0.2449851931,-0.3073321751
scene_fc_clear_v02,scene_lift_and_relocate_v02,False,False,False,0.9935274749,0.9799958233,-0.0135316517,-0.2286847012,-0.4764197545
scene_fc_clear_v02,scene_lift_and_relocate_v03,False,False,False,0.9933384566,0.9834758384,-0.0098626182,-0.2086243584,-0.1309506074
scene_fc_clear_v02,scene_lift_and_relocate_v04,False,False,False,0.9959646997,0.9764453586,-0.0195193411,0.1008601466,-0.6430364099
scene_fc_clear_v02,scene_lift_and_relocate_v05,False,False,False,0.9903419664,0.9794426013,-0.0108993651,-0.1983733300,-0.2120935621
scene_fc_clear_v03,scene_fc_clear_v04,True,True,True,0.9930842969,0.9918714833,-0.0012128136,0.6198988865,0.7303703863
scene_fc_clear_v03,scene_fc_clear_v05,True,True,True,0.9952582087,0.9887425091,-0.0065156996,0.7665046935,0.5685230198
scene_fc_clear_v03,scene_fc_blocked_v01,False,False,False,0.9827928478,0.9683583903,-0.0144344576,-0.5080407165,-0.6288395223
scene_fc_clear_v03,scene_fc_blocked_v02,False,False,False,0.9855723679,0.9835215072,-0.0020508608,-0.2972898137,0.3068328314
scene_fc_clear_v03,scene_fc_blocked_v03,False,False,True,0.9880619118,0.9747916925,-0.0132702193,-0.0407420370,-0.1669421325
scene_fc_clear_v03,scene_fc_blocked_v04,False,False,False,0.9866898680,0.9811499283,-0.0055399397,-0.1784909032,0.1274466834
scene_fc_clear_v03,scene_fc_blocked_v05,False,False,False,0.9923908472,0.9610013278,-0.0313895193,0.5628857047,-0.4272858411
scene_fc_clear_v03,scene_translate_v01,False,False,False,0.9885431963,0.9565604673,-0.0319827290,0.2579623652,-0.4681397475
scene_fc_clear_v03,scene_translate_v02,False,False,False,0.9926838733,0.9519124966,-0.0407713767,0.4741586891,-0.7800986094
scene_fc_clear_v03,scene_translate_v03,False,False,False,0.9789503605,0.9821564477,0.0032060872,-0.4368168289,0.1862035077
scene_fc_clear_v03,scene_translate_v04,False,False,False,0.9892755063,0.9692427957,-0.0200327106,0.1075668200,-0.5859563344
scene_fc_clear_v03,scene_translate_v05,False,False,False,0.9890752233,0.9567339109,-0.0323413124,-0.0094229846,-0.5334160826
scene_fc_clear_v03,scene_rotate_v01,False,False,False,0.9879499424,0.9751752069,-0.0127747354,-0.0533800583,-0.2087624379
scene_fc_clear_v03,scene_rotate_v02,False,False,False,0.9830719520,0.9802758593,-0.0027960928,-0.5923023249,0.1030334156
scene_fc_clear_v03,scene_rotate_v03,False,False,False,0.9825179479,0.9801780481,-0.0023398998,-0.4164663676,-0.0627688617
scene_fc_clear_v03,scene_rotate_v04,False,False,False,0.9821685438,0.9819323261,-0.0002362177,-0.6336414990,0.1112861698
scene_fc_clear_v03,scene_rotate_v05,False,False,False,0.9767345595,0.9787007207,0.0019661612,-0.6328905110,-0.0373983526
scene_fc_clear_v03,scene_lift_and_relocate_v01,False,False,False,0.9857734302,0.9753994560,-0.0103739742,-0.3547618654,-0.3411201364
scene_fc_clear_v03,scene_lift_and_relocate_v02,False,False,False,0.9827829466,0.9682837280,-0.0144992186,-0.5550739261,-0.4080021401
scene_fc_clear_v03,scene_lift_and_relocate_v03,False,False,False,0.9804066262,0.9724664123,-0.0079402139,-0.7445706466,-0.1299506560
scene_fc_clear_v03,scene_lift_and_relocate_v04,False,False,False,0.9895613290,0.9623517545,-0.0272095745,0.0861428325,-0.6385348793
scene_fc_clear_v03,scene_lift_and_relocate_v05,False,False,False,0.9756625420,0.9693811900,-0.0062813520,-0.6996128060,-0.1406972555
scene_fc_clear_v04,scene_fc_clear_v05,True,True,True,0.9963029607,0.9961348830,-0.0001680777,0.7580244519,0.6689157548
scene_fc_clear_v04,scene_fc_blocked_v01,False,False,False,0.9876992325,0.9840781256,-0.0036211069,-0.4675868607,-0.5769505975
scene_fc_clear_v04,scene_fc_blocked_v02,False,False,False,0.9895019796,0.9930128940,0.0035109144,-0.3418750265,0.3549737921
scene_fc_clear_v04,scene_fc_blocked_v03,False,False,True,0.9930576455,0.9904489498,-0.0026086957,0.1257085848,0.1646868066
scene_fc_clear_v04,scene_fc_blocked_v04,False,False,False,0.9931252661,0.9926600804,-0.0004651857,0.1334541110,0.2398737101
scene_fc_clear_v04,scene_fc_blocked_v05,False,False,False,0.9942938531,0.9814286076,-0.0128652455,0.5371820218,-0.1257069927
scene_fc_clear_v04,scene_translate_v01,False,False,False,0.9903377402,0.9723926056,-0.0179451345,0.1150076876,-0.5069362648
scene_fc_clear_v04,scene_translate_v02,False,False,False,0.9944549397,0.9734670711,-0.0209878685,0.4398525294,-0.6293206508
scene_fc_clear_v04,scene_translate_v03,False,False,False,0.9831284439,0.9901300245,0.0070015807,-0.4830252350,-0.0575299096
scene_fc_clear_v04,scene_translate_v04,False,False,False,0.9936081508,0.9855403612,-0.0080677896,0.2289745572,-0.4134178642
scene_fc_clear_v04,scene_translate_v05,False,False,False,0.9923423598,0.9766974823,-0.0156448775,-0.0453584200,-0.3546868442
scene_fc_clear_v04,scene_rotate_v01,False,False,False,0.9917072996,0.9894352581,-0.0022720416,-0.0325763890,0.0027503561
scene_fc_clear_v04,scene_rotate_v02,False,False,False,0.9875154312,0.9886425457,0.0011271145,-0.6184409963,-0.1277751732
scene_fc_clear_v04,scene_rotate_v03,False,False,False,0.9865036512,0.9914765116,0.0049728604,-0.4864915347,-0.0193126710
scene_fc_clear_v04,scene_rotate_v04,False,False,False,0.9872031570,0.9926941400,0.0054909830,-0.6201450415,0.1835384492
scene_fc_clear_v04,scene_rotate_v05,False,False,False,0.9803420426,0.9892012656,0.0088592230,-0.7713891062,-0.1215143790
scene_fc_clear_v04,scene_lift_and_relocate_v01,False,False,False,0.9907394220,0.9875115234,-0.0032278986,-0.2452677427,-0.4557368804
scene_fc_clear_v04,scene_lift_and_relocate_v02,False,False,False,0.9886174187,0.9814115394,-0.0072058793,-0.4239043003,-0.5377164017
scene_fc_clear_v04,scene_lift_and_relocate_v03,False,False,False,0.9863373955,0.9817852591,-0.0045521364,-0.6582646345,-0.4027626387
scene_fc_clear_v04,scene_lift_and_relocate_v04,False,False,False,0.9922558825,0.9805513645,-0.0117045180,-0.0060676325,-0.4907993603
scene_fc_clear_v04,scene_lift_and_relocate_v05,False,False,False,0.9813413156,0.9784045688,-0.0029367467,-0.6915252466,-0.4163368740
scene_fc_clear_v05,scene_fc_blocked_v01,False,False,False,0.9846660966,0.9864070998,0.0017410032,-0.5571324454,-0.4968329093
scene_fc_clear_v05,scene_fc_blocked_v02,False,False,False,0.9873488601,0.9913711034,0.0040222433,-0.3572816200,0.1009650028
scene_fc_clear_v05,scene_fc_blocked_v03,False,False,True,0.9909399529,0.9923944889,0.0014545360,0.0564459350,0.2714337179
scene_fc_clear_v05,scene_fc_blocked_v04,False,False,False,0.9901772669,0.9917024471,0.0015251802,-0.0320744230,0.0041657925
scene_fc_clear_v05,scene_fc_blocked_v05,False,False,False,0.9951096983,0.9860275686,-0.0090821298,0.6650449572,0.0992740584
scene_fc_clear_v05,scene_translate_v01,False,False,False,0.9895293837,0.9748835113,-0.0146458725,0.1883324653,-0.4692623447
scene_fc_clear_v05,scene_translate_v02,False,False,False,0.9939512547,0.9783309323,-0.0156203224,0.4829259967,-0.4284208316
scene_fc_clear_v05,scene_translate_v03,False,False,False,0.9794280406,0.9908401991,0.0114121585,-0.5767879061,-0.1184338669
scene_fc_clear_v05,scene_translate_v04,False,False,False,0.9917481046,0.9887014261,-0.0030466784,0.1774532438,-0.2167123466
scene_fc_clear_v05,scene_translate_v05,False,False,False,0.9909653582,0.9824810267,-0.0084843315,-0.0105911192,-0.0834420322
scene_fc_clear_v05,scene_rotate_v01,False,False,False,0.9892966401,0.9927886288,0.0034919887,-0.1156941826,0.2507747993
scene_fc_clear_v05,scene_rotate_v02,False,False,False,0.9853093649,0.9883567717,0.0030474069,-0.6187102107,-0.3032361064
scene_fc_clear_v05,scene_rotate_v03,False,False,False,0.9840739355,0.9940823032,0.0100083677,-0.5022825488,0.2213212610
scene_fc_clear_v05,scene_rotate_v04,False,False,False,0.9842509223,0.9936338238,0.0093829015,-0.6912746535,0.1874617227
scene_fc_clear_v05,scene_rotate_v05,False,False,False,0.9780437373,0.9898252454,0.0117815081,-0.7387442017,-0.1907509999
scene_fc_clear_v05,scene_lift_and_relocate_v01,False,False,False,0.9893522839,0.9885356337,-0.0008166503,-0.2030666094,-0.5162965283
scene_fc_clear_v05,scene_lift_and_relocate_v02,False,False,False,0.9863366160,0.9825020876,-0.0038345284,-0.4520337094,-0.5990953084
scene_fc_clear_v05,scene_lift_and_relocate_v03,False,False,False,0.9830722312,0.9818591726,-0.0012130586,-0.7501047248,-0.5435843654
scene_fc_clear_v05,scene_lift_and_relocate_v04,False,False,False,0.9908855429,0.9852083510,-0.0056771919,0.0267604111,-0.2324709106
scene_fc_clear_v05,scene_lift_and_relocate_v05,False,False,False,0.9777936106,0.9784632977,0.0006696871,-0.7562848798,-0.5463030476
scene_fc_blocked_v01,scene_fc_blocked_v02,True,True,True,0.9967723434,0.9910823421,-0.0056900013,0.4180793691,-0.0787759390
scene_fc_blocked_v01,scene_fc_blocked_v03,True,True,False,0.9962825666,0.9897910320,-0.0064915346,0.2855297948,-0.1522927471
scene_fc_blocked_v01,scene_fc_blocked_v04,True,True,True,0.9944599668,0.9937646085,-0.0006953583,0.0159882679,0.1138657621
scene_fc_blocked_v01,scene_fc_blocked_v05,True,True,True,0.9886124346,0.9890194880,0.0004070534,-0.4125228665,0.2459612408
scene_fc_blocked_v01,scene_translate_v01,False,True,True,0.9902892746,0.9880462031,-0.0022430715,-0.3551823528,0.3065505451
scene_fc_blocked_v01,scene_translate_v02,False,True,True,0.9896285605,0.9925961276,0.0029675671,-0.4220406610,0.5242706203
scene_fc_blocked_v01,scene_translate_v03,False,True,True,0.9933792437,0.9920462247,-0.0013330190,0.3415338767,-0.1562194344
scene_fc_blocked_v01,scene_translate_v04,False,True,True,0.9925032381,0.9941580175,0.0016547794,-0.3175735220,0.2414364377
scene_fc_blocked_v01,scene_translate_v05,False,True,True,0.9951657403,0.9871967990,-0.0079689412,0.0536696077,0.1601906767
scene_fc_blocked_v01,scene_rotate_v01,False,True,True,0.9933690532,0.9907127163,-0.0026563369,-0.1210137143,-0.1564041624
scene_fc_blocked_v01,scene_rotate_v02,False,True,True,0.9958923582,0.9932744685,-0.0026178897,0.3420945469,0.1191309934
scene_fc_blocked_v01,scene_rotate_v03,False,True,True,0.9956100663,0.9930893635,-0.0025207028,0.3686549256,-0.1957811310
scene_fc_blocked_v01,scene_rotate_v04,False,True,True,0.9964623540,0.9919983810,-0.0044639730,0.4317370410,-0.3017775608
scene_fc_blocked_v01,scene_rotate_v05,False,True,True,0.9936510225,0.9920565523,-0.0015944702,0.3514243368,-0.1072709992
scene_fc_blocked_v01,scene_lift_and_relocate_v01,False,True,True,0.9945826326,0.9956331823,0.0010505497,0.0735082047,0.3201588828
scene_fc_blocked_v01,scene_lift_and_relocate_v02,False,True,True,0.9952683609,0.9941442410,-0.0011241199,0.2692211277,0.3960187687
scene_fc_blocked_v01,scene_lift_and_relocate_v03,False,True,True,0.9958292320,0.9932474877,-0.0025817443,0.3970698728,0.3612917381
scene_fc_blocked_v01,scene_lift_and_relocate_v04,False,True,True,0.9928947696,0.9919208601,-0.0009739095,-0.3436871551,0.2382813314
scene_fc_blocked_v01,scene_lift_and_relocate_v05,False,True,True,0.9948712625,0.9909876715,-0.0038835909,0.4899258691,0.3183998497
scene_fc_blocked_v02,scene_fc_blocked_v03,True,True,False,0.9960127598,0.9887634347,-0.0072493251,0.1068920827,-0.1959197364
scene_fc_blocked_v02,scene_fc_blocked_v04,True,True,True,0.9965650162,0.9947225222,-0.0018424941,0.2722648603,0.3106504473
scene_fc_blocked_v02,scene_fc_blocked_v05,True,True,True,0.9906237087,0.9799102807,-0.0107134280,-0.2510906008,-0.4076505834
scene_fc_blocked_v02,scene_translate_v01,False,True,True,0.9918807237,0.9780182141,-0.0138625096,-0.2431294974,-0.3563584236
scene_fc_blocked_v02,scene_translate_v02,False,True,True,0.9911874902,0.9778169138,-0.0133705764,-0.3765379277,-0.5771197316
scene_fc_blocked_v02,scene_translate_v03,False,True,True,0.9934635067,0.9946028452,0.0011393385,0.2507444869,0.2811395407
scene_fc_blocked_v02,scene_translate_v04,False,True,True,0.9947067988,0.9885449737,-0.0061618250,-0.0992285910,-0.3823149599
scene_fc_blocked_v02,scene_translate_v05,False,True,True,0.9956134132,0.9757206527,-0.0198927605,-0.0503797646,-0.6328696907
scene_fc_blocked_v02,scene_rotate_v01,False,True,True,0.9954750912,0.9892274919,-0.0062475993,0.0837466435,-0.2575001101
