short_id,scene_id,family,target_id,expected_decision,retrieve_count,rearrange_count,correct_count,outcome,majority_decision,branch_logit_retrieve_TR,branch_logit_rearrange_ARR,branch_margin_retrieve_minus_rearrange,branch_two_way_probability_retrieve
C1,scene_fc_clear_v01,FC_CLEAR,53,RETRIEVE_NOW,5,0,5,all_correct,RETRIEVE_NOW,24.0,20.75,3.25,0.9626730680465698
C2,scene_fc_clear_v02,FC_CLEAR,29,RETRIEVE_NOW,5,0,5,all_correct,RETRIEVE_NOW,24.125,21.375,2.75,0.9399133324623108
C3,scene_fc_clear_v03,FC_CLEAR,95,RETRIEVE_NOW,5,0,5,all_correct,RETRIEVE_NOW,24.625,20.5,4.125,0.9840936064720154
C4,scene_fc_clear_v04,FC_CLEAR,61,RETRIEVE_NOW,5,0,5,all_correct,RETRIEVE_NOW,24.5,21.5,3.0,0.9525741338729858
C5,scene_fc_clear_v05,FC_CLEAR,62,RETRIEVE_NOW,4,1,4,mixed,RETRIEVE_NOW,23.875,22.375,1.5,0.8175744414329529
B1,scene_fc_blocked_v01,FC_BLOCKED,64,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.125,24.5,-1.375,0.2018132209777832
B2,scene_fc_blocked_v02,FC_BLOCKED,53,REARRANGE_FIRST,2,3,3,mixed,REARRANGE_FIRST,23.625,22.375,1.25,0.7772998809814453
B3,scene_fc_blocked_v03,FC_BLOCKED,12,REARRANGE_FIRST,5,0,0,all_wrong,RETRIEVE_NOW,24.375,22.875,1.5,0.8175744414329529
B4,scene_fc_blocked_v04,FC_BLOCKED,89,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,24.0,22.75,1.25,0.7772998809814453
B5,scene_fc_blocked_v05,FC_BLOCKED,59,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.625,24.0,-0.375,0.4073334336280823
T1,scene_translate_v01,TRANSLATE,67,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,22.375,26.875,-4.5,0.010986942797899246
T2,scene_translate_v02,TRANSLATE,45,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.125,25.625,-2.5,0.07585818320512772
T3,scene_translate_v03,TRANSLATE,18,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.125,23.75,-0.625,0.3486451804637909
T4,scene_translate_v04,TRANSLATE,13,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.0,25.125,-2.125,0.10669060051441193
T5,scene_translate_v05,TRANSLATE,54,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.75,24.25,-0.5,0.3775406777858734
R1,scene_rotate_v01,ROTATE,12,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,24.0,23.875,0.125,0.531209409236908
R2,scene_rotate_v02,ROTATE,38,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.0,23.125,-0.125,0.4687906503677368
R3,scene_rotate_v03,ROTATE,83,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.5,23.75,-0.25,0.4378235340118408
R4,scene_rotate_v04,ROTATE,47,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.625,23.125,0.5,0.622459352016449
R5,scene_rotate_v05,ROTATE,44,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.125,23.25,-0.125,0.4687906503677368
L1,scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,59,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.25,24.125,-0.875,0.29421496391296387
L2,scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,70,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,22.375,24.875,-2.5,0.07585818320512772
L3,scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,12,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,22.625,24.5,-1.875,0.13296423852443695
L4,scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,68,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,23.75,25.125,-1.375,0.2018132209777832
L5,scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,43,REARRANGE_FIRST,0,5,5,all_correct,REARRANGE_FIRST,21.875,25.0,-3.125,0.04208773002028465
