scene_id,target_object_id,C0,C1,C2_D4,C2_D8,C3_D4,C3_D8,C4_D4,C4_D8,C5_D4,C5_D8,C6_D4,C6_D8
scene_fc_blocked_v01,64,5,4,5,0,3,3,2,4,2,5,0,5
scene_fc_blocked_v02,53,4,4,4,2,4,3,3,3,1,5,2,2
scene_fc_blocked_v03,12,5,3,5,5,5,5,3,4,5,5,5,5
scene_fc_blocked_v04,89,5,2,2,0,5,5,5,0,0,2,3,5
scene_fc_blocked_v05,59,0,0,0,0,5,5,0,3,0,2,3,4
scene_fc_clear_v01,53,5,2,5,5,5,5,4,5,5,5,5,5
scene_fc_clear_v02,29,5,5,5,5,4,5,3,0,3,5,5,5
scene_fc_clear_v03,95,5,5,5,5,5,5,5,5,4,5,5,5
scene_fc_clear_v04,61,5,4,5,5,5,5,2,3,5,5,2,5
scene_fc_clear_v05,62,5,4,5,4,3,5,2,4,1,3,2,2
scene_lift_and_relocate_v01,59,0,0,0,0,2,0,0,0,2,0,0,0
scene_lift_and_relocate_v02,70,0,0,0,0,0,1,0,0,0,0,0,0
scene_lift_and_relocate_v03,12,0,0,0,0,2,0,0,0,0,0,0,0
scene_lift_and_relocate_v04,68,0,0,0,0,0,0,0,0,0,0,0,0
scene_lift_and_relocate_v05,43,0,0,0,0,1,0,0,0,0,0,0,0
scene_rotate_v01,12,0,0,0,0,0,0,0,0,0,0,0,0
scene_rotate_v02,38,0,0,0,0,2,2,0,0,4,2,0,0
scene_rotate_v03,83,0,1,0,0,0,0,0,0,0,0,0,0
scene_rotate_v04,47,1,0,0,0,2,2,2,0,2,2,0,0
scene_rotate_v05,44,0,0,0,0,0,0,0,0,0,0,0,0
scene_translate_v01,67,0,0,0,0,0,0,0,0,0,0,0,0
scene_translate_v02,45,2,5,0,0,1,2,2,2,4,1,2,0
scene_translate_v03,18,0,0,0,0,3,2,0,0,0,1,0,2
scene_translate_v04,13,0,0,0,0,0,1,0,0,0,0,0,0
scene_translate_v05,54,0,0,0,0,0,0,0,0,0,1,2,0
