condition,resolution,name,n,tp,fn,tn,fp,predicted_true,accuracy,balanced_accuracy,positive_recall,specificity,precision,f1
C0,,Numbered RGB only,125,0,20,105,0,0,0.84,0.5,0.0,1.0,,0.0
C1,,R Numeric,125,3,17,105,0,3,0.864,0.575,0.15,1.0,1.0,0.2608695652173913
C2,D4,R Qualitative D4,125,1,19,105,0,1,0.848,0.525,0.05,1.0,1.0,0.09523809523809523
C2,D8,R Qualitative D8,125,0,20,104,1,1,0.832,0.49523809523809526,0.0,0.9904761904761905,0.0,0.0
C3,D4,F Numeric D4,125,9,11,86,19,28,0.76,0.6345238095238095,0.45,0.819047619047619,0.32142857142857145,0.375
C3,D8,F Numeric D8,125,13,7,88,17,30,0.808,0.7440476190476191,0.65,0.8380952380952381,0.43333333333333335,0.5199999999999999
C4,D4,F Qualitative D4,125,0,20,105,0,0,0.84,0.5,0.0,1.0,,0.0
C4,D8,F Qualitative D8,125,3,17,104,1,4,0.856,0.5702380952380952,0.15,0.9904761904761905,0.75,0.24999999999999997
C5,D4,M Numeric D4,125,14,6,86,19,33,0.8,0.7595238095238095,0.7,0.819047619047619,0.42424242424242425,0.5283018867924527
C5,D8,M Numeric D8,125,14,6,93,12,26,0.856,0.7928571428571428,0.7,0.8857142857142857,0.5384615384615384,0.608695652173913
C6,D4,M Qualitative D4,125,8,12,103,2,10,0.888,0.6904761904761905,0.4,0.9809523809523809,0.8,0.5333333333333333
C6,D8,M Qualitative D8,125,4,16,98,7,11,0.816,0.5666666666666667,0.2,0.9333333333333333,0.36363636363636365,0.25806451612903225
