condition_key,condition_name,scene_family,n,BLOCKED,CLEAR,v19_BLOCKED
C0,RGB only,FC_CLEAR,25,0,25,0
C0,RGB only,FC_BLOCKED,25,1,24,0
C0,RGB only,TRANSLATE,25,10,15,5
C0,RGB only,ROTATE,25,5,20,5
C0,RGB only,LIFT_AND_RELOCATE,25,0,25,14
C1,R Numeric,FC_CLEAR,25,0,25,0
C1,R Numeric,FC_BLOCKED,25,5,20,0
C1,R Numeric,TRANSLATE,25,2,23,5
C1,R Numeric,ROTATE,25,0,25,0
C1,R Numeric,LIFT_AND_RELOCATE,25,0,25,0
C2_D4,R Qualitative D4,FC_CLEAR,25,0,25,0
C2_D4,R Qualitative D4,FC_BLOCKED,25,15,10,0
C2_D4,R Qualitative D4,TRANSLATE,25,17,8,5
C2_D4,R Qualitative D4,ROTATE,25,3,22,0
C2_D4,R Qualitative D4,LIFT_AND_RELOCATE,25,17,8,7
C2_D8,R Qualitative D8,FC_CLEAR,25,1,24,0
C2_D8,R Qualitative D8,FC_BLOCKED,25,19,6,0
C2_D8,R Qualitative D8,TRANSLATE,25,16,9,5
C2_D8,R Qualitative D8,ROTATE,25,5,20,0
C2_D8,R Qualitative D8,LIFT_AND_RELOCATE,25,11,14,0
C3_D4,F Numeric D4,FC_CLEAR,25,0,25,0
C3_D4,F Numeric D4,FC_BLOCKED,25,2,23,0
C3_D4,F Numeric D4,TRANSLATE,25,1,24,0
C3_D4,F Numeric D4,ROTATE,25,0,25,0
C3_D4,F Numeric D4,LIFT_AND_RELOCATE,25,0,25,0
C3_D8,F Numeric D8,FC_CLEAR,25,0,25,0
C3_D8,F Numeric D8,FC_BLOCKED,25,1,24,0
C3_D8,F Numeric D8,TRANSLATE,25,3,22,0
C3_D8,F Numeric D8,ROTATE,25,1,24,0
C3_D8,F Numeric D8,LIFT_AND_RELOCATE,25,0,25,0
C4_D4,F Qualitative D4,FC_CLEAR,25,0,25,0
C4_D4,F Qualitative D4,FC_BLOCKED,25,0,25,0
C4_D4,F Qualitative D4,TRANSLATE,25,0,25,0
C4_D4,F Qualitative D4,ROTATE,25,3,22,5
C4_D4,F Qualitative D4,LIFT_AND_RELOCATE,25,0,25,5
C4_D8,F Qualitative D8,FC_CLEAR,25,0,25,0
C4_D8,F Qualitative D8,FC_BLOCKED,25,5,20,0
C4_D8,F Qualitative D8,TRANSLATE,25,3,22,0
C4_D8,F Qualitative D8,ROTATE,25,1,24,0
C4_D8,F Qualitative D8,LIFT_AND_RELOCATE,25,0,25,4
C5_D4,M Numeric D4,FC_CLEAR,25,0,25,0
C5_D4,M Numeric D4,FC_BLOCKED,25,5,20,0
C5_D4,M Numeric D4,TRANSLATE,25,1,24,4
C5_D4,M Numeric D4,ROTATE,25,3,22,0
C5_D4,M Numeric D4,LIFT_AND_RELOCATE,25,0,25,0
C5_D8,M Numeric D8,FC_CLEAR,25,0,25,0
C5_D8,M Numeric D8,FC_BLOCKED,25,6,19,0
C5_D8,M Numeric D8,TRANSLATE,25,5,20,0
C5_D8,M Numeric D8,ROTATE,25,2,23,0
C5_D8,M Numeric D8,LIFT_AND_RELOCATE,25,0,25,0
C6_D4,M Qualitative D4,FC_CLEAR,25,0,25,0
C6_D4,M Qualitative D4,FC_BLOCKED,25,6,19,0
C6_D4,M Qualitative D4,TRANSLATE,25,4,21,0
C6_D4,M Qualitative D4,ROTATE,25,1,24,0
C6_D4,M Qualitative D4,LIFT_AND_RELOCATE,25,0,25,0
C6_D8,M Qualitative D8,FC_CLEAR,25,0,25,0
C6_D8,M Qualitative D8,FC_BLOCKED,25,3,22,0
C6_D8,M Qualitative D8,TRANSLATE,25,6,19,0
C6_D8,M Qualitative D8,ROTATE,25,5,20,0
C6_D8,M Qualitative D8,LIFT_AND_RELOCATE,25,0,25,0
