condition,resolution,name,n,tp,fn,tn,fp,predicted_true,accuracy,balanced_accuracy,positive_recall,specificity,precision
C0,,Numbered RGB only,125,27,3,75,20,47,0.816,0.8447368421052632,0.9,0.7894736842105263,0.574468085106383
C1,,R Numeric,125,30,0,52,43,73,0.656,0.7736842105263158,1.0,0.5473684210526316,0.410958904109589
C2,D4,R Qualitative D4,125,30,0,34,61,91,0.512,0.6789473684210526,1.0,0.35789473684210527,0.32967032967032966
C2,D8,R Qualitative D8,125,30,0,29,66,96,0.472,0.6526315789473685,1.0,0.30526315789473685,0.3125
C3,D4,F Numeric D4,125,30,0,49,46,76,0.632,0.7578947368421053,1.0,0.5157894736842106,0.39473684210526316
C3,D8,F Numeric D8,125,30,0,45,50,80,0.6,0.7368421052631579,1.0,0.47368421052631576,0.375
C4,D4,F Qualitative D4,125,30,0,37,58,88,0.536,0.6947368421052631,1.0,0.3894736842105263,0.3409090909090909
C4,D8,F Qualitative D8,125,30,0,23,72,102,0.424,0.6210526315789474,1.0,0.24210526315789474,0.29411764705882354
C5,D4,M Numeric D4,125,30,0,41,54,84,0.568,0.7157894736842105,1.0,0.43157894736842106,0.35714285714285715
C5,D8,M Numeric D8,125,30,0,28,67,97,0.464,0.6473684210526316,1.0,0.29473684210526313,0.30927835051546393
C6,D4,M Qualitative D4,125,30,0,33,62,92,0.504,0.6736842105263158,1.0,0.3473684210526316,0.32608695652173914
C6,D8,M Qualitative D8,125,30,0,27,68,98,0.456,0.6421052631578947,1.0,0.28421052631578947,0.30612244897959184
