condition,resolution,name,TRANSLATE,ROTATE,LIFT_AND_RELOCATE,FC_CLEAR,FC_BLOCKED
C0,,Numbered RGB only,1.0,1.0,1.0,1.0,0.08
C1,,R Numeric,0.64,0.72,0.72,1.0,0.2
C2,D4,R Qualitative D4,0.32,0.48,0.44,1.0,0.32
C2,D8,R Qualitative D8,0.32,0.4,0.36,1.0,0.28
C3,D4,F Numeric D4,0.4,0.72,0.84,1.0,0.2
C3,D8,F Numeric D8,0.32,0.56,0.92,1.0,0.2
C4,D4,F Qualitative D4,0.32,0.52,0.64,1.0,0.2
C4,D8,F Qualitative D8,0.16,0.4,0.36,1.0,0.2
C5,D4,M Numeric D4,0.68,0.56,0.4,1.0,0.2
C5,D8,M Numeric D8,0.52,0.36,0.24,1.0,0.2
C6,D4,M Qualitative D4,0.32,0.44,0.56,1.0,0.2
C6,D8,M Qualitative D8,0.12,0.44,0.52,1.0,0.2
