scene_id,scene_family,truth,n,predicted_true,correct,accuracy
scene_fc_blocked_v01,FC_BLOCKED,False,60,60,0,0.0
scene_fc_blocked_v02,FC_BLOCKED,True,60,57,57,0.95
scene_fc_blocked_v03,FC_BLOCKED,False,60,60,0,0.0
scene_fc_blocked_v04,FC_BLOCKED,False,60,60,0,0.0
scene_fc_blocked_v05,FC_BLOCKED,False,60,55,5,0.08333333333333333
scene_fc_clear_v01,FC_CLEAR,True,60,60,60,1.0
scene_fc_clear_v02,FC_CLEAR,True,60,60,60,1.0
scene_fc_clear_v03,FC_CLEAR,True,60,60,60,1.0
scene_fc_clear_v04,FC_CLEAR,True,60,60,60,1.0
scene_fc_clear_v05,FC_CLEAR,True,60,60,60,1.0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,False,60,25,35,0.5833333333333334
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,False,60,42,18,0.3
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,False,60,25,35,0.5833333333333334
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,False,60,11,49,0.8166666666666667
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,False,60,22,38,0.6333333333333333
scene_rotate_v01,ROTATE,False,60,0,60,1.0
scene_rotate_v02,ROTATE,False,60,43,17,0.2833333333333333
scene_rotate_v03,ROTATE,False,60,40,20,0.3333333333333333
scene_rotate_v04,ROTATE,False,60,48,12,0.2
scene_rotate_v05,ROTATE,False,60,4,56,0.9333333333333333
scene_translate_v01,TRANSLATE,False,60,46,14,0.23333333333333334
scene_translate_v02,TRANSLATE,False,60,45,15,0.25
scene_translate_v03,TRANSLATE,False,60,38,22,0.36666666666666664
scene_translate_v04,TRANSLATE,False,60,8,52,0.8666666666666667
scene_translate_v05,TRANSLATE,False,60,35,25,0.4166666666666667
