condition,resolution,name,scene_family,run_count,candidate_count,candidate_accuracy,candidate_balanced_accuracy,interference_recall,non_interference_specificity,instance_exact_match_accuracy,any_interference_accuracy
C0,,Numbered RGB only,TRANSLATE,25,70,0.8,0.7377777777777779,0.52,0.9555555555555556,0.44,0.52
C0,,Numbered RGB only,ROTATE,25,105,0.6285714285714286,0.6187499999999999,0.6,0.6375,0.16,0.6
C0,,Numbered RGB only,LIFT_AND_RELOCATE,25,120,0.5333333333333333,0.6463157894736842,0.84,0.45263157894736844,0.2,0.84
C0,,Numbered RGB only,FC_CLEAR,25,75,0.8,,,0.8,0.8,0.8
C0,,Numbered RGB only,FC_BLOCKED,25,75,0.6,,,0.6,0.0,0.0
C1,,R Numeric,TRANSLATE,25,70,0.6714285714285714,0.6733333333333333,0.68,0.6666666666666666,0.28,0.68
C1,,R Numeric,ROTATE,25,105,0.5333333333333333,0.4875,0.4,0.575,0.0,0.48
C1,,R Numeric,LIFT_AND_RELOCATE,25,120,0.9166666666666666,0.9326315789473685,0.96,0.9052631578947369,0.6,0.96
C1,,R Numeric,FC_CLEAR,25,75,0.7866666666666666,,,0.7866666666666666,0.48,0.48
C1,,R Numeric,FC_BLOCKED,25,75,0.6666666666666666,,,0.6666666666666666,0.0,0.0
C2,D4,R Qualitative D4,TRANSLATE,25,70,0.7142857142857143,0.7333333333333334,0.8,0.6666666666666666,0.4,0.8
C2,D4,R Qualitative D4,ROTATE,25,105,0.4,0.5237499999999999,0.76,0.2875,0.0,0.76
C2,D4,R Qualitative D4,LIFT_AND_RELOCATE,25,120,0.475,0.6242105263157894,0.88,0.3684210526315789,0.28,0.88
C2,D4,R Qualitative D4,FC_CLEAR,25,75,0.32,,,0.32,0.08,0.08
C2,D4,R Qualitative D4,FC_BLOCKED,25,75,0.6533333333333333,,,0.6533333333333333,0.16,0.16
C2,D8,R Qualitative D8,TRANSLATE,25,70,0.7142857142857143,0.7333333333333334,0.8,0.6666666666666666,0.4,0.8
C2,D8,R Qualitative D8,ROTATE,25,105,0.45714285714285713,0.56125,0.76,0.3625,0.0,0.76
C2,D8,R Qualitative D8,LIFT_AND_RELOCATE,25,120,0.4083333333333333,0.596842105263158,0.92,0.2736842105263158,0.16,0.92
C2,D8,R Qualitative D8,FC_CLEAR,25,75,0.36,,,0.36,0.04,0.04
C2,D8,R Qualitative D8,FC_BLOCKED,25,75,0.64,,,0.64,0.0,0.0
C3,D4,F Numeric D4,TRANSLATE,25,70,0.7,0.6422222222222222,0.44,0.8444444444444444,0.2,0.44
C3,D4,F Numeric D4,ROTATE,25,105,0.638095238095238,0.515,0.28,0.75,0.0,0.32
C3,D4,F Numeric D4,LIFT_AND_RELOCATE,25,120,0.5333333333333333,0.5873684210526315,0.68,0.49473684210526314,0.08,0.68
C3,D4,F Numeric D4,FC_CLEAR,25,75,1.0,,,1.0,1.0,1.0
C3,D4,F Numeric D4,FC_BLOCKED,25,75,0.6266666666666667,,,0.6266666666666667,0.08,0.08
C3,D8,F Numeric D8,TRANSLATE,25,70,0.7428571428571429,0.7377777777777778,0.72,0.7555555555555555,0.4,0.72
C3,D8,F Numeric D8,ROTATE,25,105,0.6190476190476191,0.51625,0.32,0.7125,0.12,0.48
C3,D8,F Numeric D8,LIFT_AND_RELOCATE,25,120,0.45,0.5052631578947369,0.6,0.4105263157894737,0.0,0.6
C3,D8,F Numeric D8,FC_CLEAR,25,75,1.0,,,1.0,1.0,1.0
C3,D8,F Numeric D8,FC_BLOCKED,25,75,0.6133333333333333,,,0.6133333333333333,0.16,0.16
