condition,resolution,name,run_count,candidate_count,tp,fn,tn,fp,candidate_accuracy,candidate_balanced_accuracy,interference_recall,non_interference_specificity,precision,instance_exact_match_accuracy,blocker_set_exact_match_accuracy,any_interference_accuracy,any_interference_balanced_accuracy
C0,,Numbered RGB only,125,445,49,26,242,128,0.6539325842696629,0.6536936936936937,0.6533333333333333,0.654054054054054,0.2768361581920904,0.32,0.32,0.552,0.5266666666666666
C1,,R Numeric,125,445,51,24,271,99,0.7235955056179775,0.7062162162162162,0.68,0.7324324324324324,0.34,0.272,0.272,0.52,0.47333333333333333
C2,D4,R Qualitative D4,125,445,61,14,161,209,0.49887640449438203,0.6242342342342342,0.8133333333333334,0.43513513513513513,0.22592592592592592,0.184,0.184,0.536,0.4666666666666667
C2,D8,R Qualitative D8,125,445,62,13,160,210,0.49887640449438203,0.6295495495495496,0.8266666666666667,0.43243243243243246,0.22794117647058823,0.12,0.12,0.504,0.42333333333333334
C3,D4,F Numeric D4,125,445,35,40,267,103,0.6786516853932584,0.5941441441441442,0.4666666666666667,0.7216216216216216,0.2536231884057971,0.272,0.272,0.504,0.51
C3,D8,F Numeric D8,125,445,41,34,251,119,0.6561797752808989,0.6125225225225225,0.5466666666666666,0.6783783783783783,0.25625,0.336,0.336,0.592,0.59
C4,D4,F Qualitative D4,125,445,40,35,236,134,0.6202247191011236,0.5855855855855856,0.5333333333333333,0.6378378378378379,0.22988505747126436,0.224,0.224,0.528,0.5166666666666667
C4,D8,F Qualitative D8,125,445,52,23,214,156,0.597752808988764,0.6358558558558558,0.6933333333333334,0.5783783783783784,0.25,0.32,0.32,0.688,0.6733333333333333
C5,D4,M Numeric D4,125,445,43,32,236,134,0.6269662921348315,0.6055855855855856,0.5733333333333334,0.6378378378378379,0.24293785310734464,0.24,0.24,0.488,0.4666666666666667
C5,D8,M Numeric D8,125,445,52,23,229,141,0.6314606741573033,0.6561261261261262,0.6933333333333334,0.6189189189189189,0.2694300518134715,0.28,0.28,0.584,0.5566666666666666
C6,D4,M Qualitative D4,125,445,50,25,211,159,0.5865168539325842,0.6184684684684685,0.6666666666666666,0.5702702702702702,0.23923444976076555,0.248,0.248,0.536,0.4966666666666667
C6,D8,M Qualitative D8,125,445,54,21,231,139,0.6404494382022472,0.6721621621621621,0.72,0.6243243243243243,0.27979274611398963,0.296,0.296,0.592,0.56
