scene_id,scene_family,target_id,run_count,candidate_count,gt_blocker_ids,candidate_accuracy,interference_recall,non_interference_specificity,instance_exact_match_accuracy,any_interference_accuracy
scene_fc_blocked_v01,FC_BLOCKED,64,60,180,[],0.6666666666666666,,0.6666666666666666,0.0,0.0
scene_fc_blocked_v02,FC_BLOCKED,53,60,180,[],0.6666666666666666,,0.6666666666666666,0.0,0.0
scene_fc_blocked_v03,FC_BLOCKED,12,60,180,[],0.7944444444444444,,0.7944444444444444,0.38333333333333336,0.38333333333333336
scene_fc_blocked_v04,FC_BLOCKED,89,60,180,[],0.35555555555555557,,0.35555555555555557,0.0,0.0
scene_fc_blocked_v05,FC_BLOCKED,59,60,180,[],0.6666666666666666,,0.6666666666666666,0.0,0.0
scene_fc_clear_v01,FC_CLEAR,53,60,180,[],0.8555555555555555,,0.8555555555555555,0.7833333333333333,0.7833333333333333
scene_fc_clear_v02,FC_CLEAR,29,60,180,[],0.8333333333333334,,0.8333333333333334,0.6666666666666666,0.6666666666666666
scene_fc_clear_v03,FC_CLEAR,95,60,180,[],0.8111111111111111,,0.8111111111111111,0.7666666666666667,0.7666666666666667
scene_fc_clear_v04,FC_CLEAR,61,60,180,[],0.39444444444444443,,0.39444444444444443,0.3333333333333333,0.3333333333333333
scene_fc_clear_v05,FC_CLEAR,62,60,180,[],0.8611111111111112,,0.8611111111111112,0.7666666666666667,0.7666666666666667
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,59,60,300,[64],0.7666666666666667,0.26666666666666666,0.8916666666666667,0.08333333333333333,0.26666666666666666
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,70,60,300,[14],0.30333333333333334,0.95,0.14166666666666666,0.03333333333333333,0.95
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,12,60,300,[35],0.43666666666666665,1.0,0.29583333333333334,0.0,1.0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,68,60,240,[73],0.7541666666666667,0.7666666666666667,0.75,0.4166666666666667,0.7666666666666667
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,43,60,300,[15],0.26666666666666666,1.0,0.08333333333333333,0.08333333333333333,1.0
scene_rotate_v01,ROTATE,12,60,240,[95],0.25,0.9833333333333333,0.005555555555555556,0.0,1.0
scene_rotate_v02,ROTATE,38,60,240,[50],0.6541666666666667,0.6833333333333333,0.6444444444444445,0.25,0.6833333333333333
scene_rotate_v03,ROTATE,83,60,240,[19],0.65,0.6333333333333333,0.6555555555555556,0.26666666666666666,0.6333333333333333
scene_rotate_v04,ROTATE,47,60,240,[95],0.55,0.15,0.6833333333333333,0.0,0.4
scene_rotate_v05,ROTATE,44,60,300,[82],0.8,0.0,1.0,0.0,0.0
scene_translate_v01,TRANSLATE,67,60,60,[35],1.0,1.0,,1.0,1.0
scene_translate_v02,TRANSLATE,45,60,180,[95],0.6944444444444444,1.0,0.5416666666666666,0.08333333333333333,1.0
scene_translate_v03,TRANSLATE,18,60,180,[45],0.45555555555555555,0.6333333333333333,0.36666666666666664,0.0,0.6333333333333333
scene_translate_v04,TRANSLATE,13,60,180,[84],0.8333333333333334,0.75,0.875,0.55,0.75
scene_translate_v05,TRANSLATE,54,60,240,[79],0.7541666666666667,0.016666666666666666,1.0,0.016666666666666666,0.016666666666666666
