condition,resolution,name,run_count,candidate_count,tp,fn,tn,fp,candidate_accuracy,candidate_balanced_accuracy,occlusion_recall,non_occlusion_specificity,precision,full_output_exact_match_accuracy,any_occlusion_accuracy,any_occlusion_balanced_accuracy
C0,,Numbered RGB only,125,445,13,62,370,0,0.8606741573033708,0.5866666666666667,0.17333333333333334,1.0,1.0,0.504,0.504,0.5866666666666667
C1,,R Numeric,125,445,5,70,370,0,0.8426966292134831,0.5333333333333333,0.06666666666666667,1.0,1.0,0.44,0.44,0.5333333333333333
C2,D4,R Qualitative D4,125,445,7,68,370,0,0.8471910112359551,0.5466666666666666,0.09333333333333334,1.0,1.0,0.456,0.456,0.5466666666666666
C2,D8,R Qualitative D8,125,445,9,66,370,0,0.851685393258427,0.56,0.12,1.0,1.0,0.472,0.472,0.56
C3,D4,F Numeric D4,125,445,8,67,368,2,0.8449438202247191,0.5506306306306307,0.10666666666666667,0.9945945945945946,0.8,0.456,0.464,0.5533333333333333
C3,D8,F Numeric D8,125,445,14,61,370,0,0.8629213483146068,0.5933333333333334,0.18666666666666668,1.0,1.0,0.512,0.512,0.5933333333333334
C4,D4,F Qualitative D4,125,445,10,65,369,1,0.851685393258427,0.5653153153153153,0.13333333333333333,0.9972972972972973,0.9090909090909091,0.472,0.48,0.5666666666666667
C4,D8,F Qualitative D8,125,445,11,64,370,0,0.8561797752808988,0.5733333333333334,0.14666666666666667,1.0,1.0,0.488,0.488,0.5733333333333334
C5,D4,M Numeric D4,125,445,19,56,370,0,0.8741573033707866,0.6266666666666667,0.25333333333333335,1.0,1.0,0.552,0.552,0.6266666666666667
C5,D8,M Numeric D8,125,445,15,60,366,4,0.8561797752808988,0.5945945945945946,0.2,0.9891891891891892,0.7894736842105263,0.488,0.488,0.56
C6,D4,M Qualitative D4,125,445,16,59,369,1,0.8651685393258427,0.6053153153153153,0.21333333333333335,0.9972972972972973,0.9411764705882353,0.52,0.52,0.5966666666666667
C6,D8,M Qualitative D8,125,445,18,57,366,4,0.8629213483146068,0.6145945945945945,0.24,0.9891891891891892,0.8181818181818182,0.536,0.544,0.62
