scene_id,scene_family,target_id,visible_object_ids_left_to_right,gt_occluder_ids,run_count,candidate_count,candidate_accuracy,occlusion_recall,non_occlusion_specificity,full_output_exact_match_accuracy,any_occlusion_accuracy
scene_fc_blocked_v01,FC_BLOCKED,64,"[46, 64, 40, 59]",[],60,180,1.0,,1.0,1.0,1.0
scene_fc_blocked_v02,FC_BLOCKED,53,"[60, 49, 53, 78]",[],60,180,1.0,,1.0,1.0,1.0
scene_fc_blocked_v03,FC_BLOCKED,12,"[12, 33, 68, 30]",[],60,180,1.0,,1.0,1.0,1.0
scene_fc_blocked_v04,FC_BLOCKED,89,"[77, 19, 89, 44]",[],60,180,1.0,,1.0,1.0,1.0
scene_fc_blocked_v05,FC_BLOCKED,59,"[92, 59, 26, 69]",[],60,180,0.9722222222222222,,0.9722222222222222,0.9166666666666666,0.9166666666666666
scene_fc_clear_v01,FC_CLEAR,53,"[62, 53, 98, 59]",[],60,180,1.0,,1.0,1.0,1.0
scene_fc_clear_v02,FC_CLEAR,29,"[39, 10, 29, 66]",[],60,180,1.0,,1.0,1.0,1.0
scene_fc_clear_v03,FC_CLEAR,95,"[95, 20, 51, 22]",[],60,180,1.0,,1.0,1.0,1.0
scene_fc_clear_v04,FC_CLEAR,61,"[59, 38, 61, 13]",[],60,180,1.0,,1.0,1.0,1.0
scene_fc_clear_v05,FC_CLEAR,62,"[42, 62, 82, 27]",[],60,180,1.0,,1.0,1.0,1.0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,59,"[30, 16, 79, 64, 59, 32]",[64],60,300,0.8,0.0,1.0,0.0,0.0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,70,"[77, 70, 14, 79, 22, 72]",[14],60,300,0.79,0.016666666666666666,0.9833333333333333,0.0,0.016666666666666666
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,12,"[80, 16, 35, 12, 92, 50]",[35],60,300,0.8,0.0,1.0,0.0,0.0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,68,"[54, 30, 68, 73, 45]",[73],60,240,0.75,0.0,1.0,0.0,0.0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,43,"[52, 48, 15, 43, 76, 24]",[15],60,300,0.8,0.0,1.0,0.0,0.0
scene_rotate_v01,ROTATE,12,"[88, 41, 54, 12, 95]",[95],60,240,0.8291666666666667,0.31666666666666665,1.0,0.31666666666666665,0.31666666666666665
scene_rotate_v02,ROTATE,38,"[50, 38, 29, 44, 74]",[50],60,240,0.9875,1.0,0.9833333333333333,0.9666666666666667,1.0
scene_rotate_v03,ROTATE,83,"[41, 11, 23, 83, 19]",[19],60,240,0.7958333333333333,0.18333333333333332,1.0,0.18333333333333332,0.18333333333333332
scene_rotate_v04,ROTATE,47,"[95, 47, 29, 25, 53]",[95],60,240,0.75,0.0,1.0,0.0,0.0
scene_rotate_v05,ROTATE,44,"[97, 11, 44, 82, 72, 99]",[82],60,300,0.8,0.0,1.0,0.0,0.0
scene_translate_v01,TRANSLATE,67,"[35, 67]",[35],60,60,0.0,0.0,,0.0,0.0
scene_translate_v02,TRANSLATE,45,"[86, 45, 95, 81]",[95],60,180,0.6888888888888889,0.06666666666666667,1.0,0.06666666666666667,0.06666666666666667
scene_translate_v03,TRANSLATE,18,"[45, 18, 39, 41]",[45],60,180,0.8055555555555556,0.4166666666666667,1.0,0.4166666666666667,0.4166666666666667
scene_translate_v04,TRANSLATE,13,"[77, 41, 13, 84]",[84],60,180,0.6944444444444444,0.08333333333333333,1.0,0.08333333333333333,0.08333333333333333
scene_translate_v05,TRANSLATE,54,"[54, 79, 82, 66, 49]",[79],60,240,0.8333333333333334,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
