scene_id,scene_family,occlusion_ratio,truth_interference,n,predicted_interference,correct,accuracy
scene_fc_blocked_v01,FC_BLOCKED,0.0,False,60,1,59,0.9833333333333333
scene_fc_blocked_v02,FC_BLOCKED,0.0,False,60,0,60,1.0
scene_fc_blocked_v03,FC_BLOCKED,0.0,False,60,0,60,1.0
scene_fc_blocked_v04,FC_BLOCKED,0.0,False,60,0,60,1.0
scene_fc_blocked_v05,FC_BLOCKED,0.004170287,False,60,7,53,0.8833333333333333
scene_fc_clear_v01,FC_CLEAR,0.0,False,60,0,60,1.0
scene_fc_clear_v02,FC_CLEAR,0.0,False,60,0,60,1.0
scene_fc_clear_v03,FC_CLEAR,0.0,False,60,0,60,1.0
scene_fc_clear_v04,FC_CLEAR,0.0,False,60,0,60,1.0
scene_fc_clear_v05,FC_CLEAR,0.0,False,60,0,60,1.0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,0.606130192,True,60,10,10,0.16666666666666666
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,0.300692888,True,60,0,0,0.0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,0.351479047,True,60,6,6,0.1
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,0.581504542,True,60,40,40,0.6666666666666666
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,0.625038993,True,60,9,9,0.15
scene_rotate_v01,ROTATE,0.190150625,True,60,13,13,0.21666666666666667
scene_rotate_v02,ROTATE,0.34054756,True,60,2,2,0.03333333333333333
scene_rotate_v03,ROTATE,0.230317274,True,60,17,17,0.2833333333333333
scene_rotate_v04,ROTATE,0.423330808,True,60,0,0,0.0
scene_rotate_v05,ROTATE,0.70983892,True,60,10,10,0.16666666666666666
scene_translate_v01,TRANSLATE,0.630291534,True,60,47,47,0.7833333333333333
scene_translate_v02,TRANSLATE,0.230800612,True,60,3,3,0.05
scene_translate_v03,TRANSLATE,0.464483846,True,60,0,0,0.0
scene_translate_v04,TRANSLATE,0.572727273,True,60,37,37,0.6166666666666667
scene_translate_v05,TRANSLATE,0.524458386,True,60,7,7,0.11666666666666667
