condition,resolution,name,scene_family,n,gt_positive,gt_null,predicted_positive,predicted_null,exact_matches,exact_accuracy,tp,fn,tn,fp,presence_accuracy,presence_balanced_accuracy,presence_recall,null_specificity,presence_precision,positive_id_correct,positive_id_accuracy,id_accuracy_given_non_null_prediction_on_positive,wrong_non_null_id_on_positive
C0,,Numbered RGB only,TRANSLATE,25,25,0,25,0,25,1.0,25,0,0,0,1.0,,1.0,,1.0,25,1.0,1.0,0
C0,,Numbered RGB only,ROTATE,25,25,0,25,0,6,0.24,25,0,0,0,1.0,,1.0,,1.0,6,0.24,0.24,19
C0,,Numbered RGB only,LIFT_AND_RELOCATE,25,25,0,25,0,11,0.44,25,0,0,0,1.0,,1.0,,1.0,11,0.44,0.44,14
C0,,Numbered RGB only,FC_CLEAR,25,0,25,25,0,0,0.0,0,0,0,25,0.0,,,0.0,0.0,0,,,0
C0,,Numbered RGB only,FC_BLOCKED,25,0,25,25,0,0,0.0,0,0,0,25,0.0,,,0.0,0.0,0,,,0
C1,,R Numeric,TRANSLATE,25,25,0,25,0,25,1.0,25,0,0,0,1.0,,1.0,,1.0,25,1.0,1.0,0
C1,,R Numeric,ROTATE,25,25,0,25,0,11,0.44,25,0,0,0,1.0,,1.0,,1.0,11,0.44,0.44,14
C1,,R Numeric,LIFT_AND_RELOCATE,25,25,0,25,0,16,0.64,25,0,0,0,1.0,,1.0,,1.0,16,0.64,0.64,9
C1,,R Numeric,FC_CLEAR,25,0,25,25,0,0,0.0,0,0,0,25,0.0,,,0.0,0.0,0,,,0
C1,,R Numeric,FC_BLOCKED,25,0,25,25,0,0,0.0,0,0,0,25,0.0,,,0.0,0.0,0,,,0
C2,D4,R Qualitative D4,TRANSLATE,25,25,0,25,0,25,1.0,25,0,0,0,1.0,,1.0,,1.0,25,1.0,1.0,0
C2,D4,R Qualitative D4,ROTATE,25,25,0,25,0,16,0.64,25,0,0,0,1.0,,1.0,,1.0,16,0.64,0.64,9
C2,D4,R Qualitative D4,LIFT_AND_RELOCATE,25,25,0,25,0,17,0.68,25,0,0,0,1.0,,1.0,,1.0,17,0.68,0.68,8
C2,D4,R Qualitative D4,FC_CLEAR,25,0,25,25,0,0,0.0,0,0,0,25,0.0,,,0.0,0.0,0,,,0
C2,D4,R Qualitative D4,FC_BLOCKED,25,0,25,25,0,0,0.0,0,0,0,25,0.0,,,0.0,0.0,0,,,0
C2,D8,R Qualitative D8,TRANSLATE,25,25,0,25,0,25,1.0,25,0,0,0,1.0,,1.0,,1.0,25,1.0,1.0,0
C2,D8,R Qualitative D8,ROTATE,25,25,0,25,0,14,0.56,25,0,0,0,1.0,,1.0,,1.0,14,0.56,0.56,11
C2,D8,R Qualitative D8,LIFT_AND_RELOCATE,25,25,0,25,0,19,0.76,25,0,0,0,1.0,,1.0,,1.0,19,0.76,0.76,6
C2,D8,R Qualitative D8,FC_CLEAR,25,0,25,25,0,0,0.0,0,0,0,25,0.0,,,0.0,0.0,0,,,0
C2,D8,R Qualitative D8,FC_BLOCKED,25,0,25,25,0,0,0.0,0,0,0,25,0.0,,,0.0,0.0,0,,,0
C3,D4,F Numeric D4,TRANSLATE,25,25,0,25,0,25,1.0,25,0,0,0,1.0,,1.0,,1.0,25,1.0,1.0,0
C3,D4,F Numeric D4,ROTATE,25,25,0,25,0,16,0.64,25,0,0,0,1.0,,1.0,,1.0,16,0.64,0.64,9
C3,D4,F Numeric D4,LIFT_AND_RELOCATE,25,25,0,25,0,12,0.48,25,0,0,0,1.0,,1.0,,1.0,12,0.48,0.48,13
C3,D4,F Numeric D4,FC_CLEAR,25,0,25,25,0,0,0.0,0,0,0,25,0.0,,,0.0,0.0,0,,,0
C3,D4,F Numeric D4,FC_BLOCKED,25,0,25,25,0,0,0.0,0,0,0,25,0.0,,,0.0,0.0,0,,,0
