condition,resolution,name,n,gt_positive,gt_null,predicted_positive,predicted_null,exact_matches,exact_accuracy,tp,fn,tn,fp,presence_accuracy,presence_balanced_accuracy,presence_recall,null_specificity,presence_precision,positive_id_correct,positive_id_accuracy,id_accuracy_given_non_null_prediction_on_positive,wrong_non_null_id_on_positive
C0,,Numbered RGB only,125,75,50,125,0,42,0.336,75,0,0,50,0.6,0.5,1.0,0.0,0.6,42,0.56,0.56,33
C1,,R Numeric,125,75,50,125,0,52,0.416,75,0,0,50,0.6,0.5,1.0,0.0,0.6,52,0.6933333333333334,0.6933333333333334,23
C2,D4,R Qualitative D4,125,75,50,125,0,58,0.464,75,0,0,50,0.6,0.5,1.0,0.0,0.6,58,0.7733333333333333,0.7733333333333333,17
C2,D8,R Qualitative D8,125,75,50,125,0,58,0.464,75,0,0,50,0.6,0.5,1.0,0.0,0.6,58,0.7733333333333333,0.7733333333333333,17
C3,D4,F Numeric D4,125,75,50,125,0,53,0.424,75,0,0,50,0.6,0.5,1.0,0.0,0.6,53,0.7066666666666667,0.7066666666666667,22
C3,D8,F Numeric D8,125,75,50,125,0,54,0.432,75,0,0,50,0.6,0.5,1.0,0.0,0.6,54,0.72,0.72,21
C4,D4,F Qualitative D4,125,75,50,125,0,56,0.448,75,0,0,50,0.6,0.5,1.0,0.0,0.6,56,0.7466666666666667,0.7466666666666667,19
C4,D8,F Qualitative D8,125,75,50,125,0,60,0.48,75,0,0,50,0.6,0.5,1.0,0.0,0.6,60,0.8,0.8,15
C5,D4,M Numeric D4,125,75,50,125,0,54,0.432,75,0,0,50,0.6,0.5,1.0,0.0,0.6,54,0.72,0.72,21
C5,D8,M Numeric D8,125,75,50,125,0,62,0.496,75,0,0,50,0.6,0.5,1.0,0.0,0.6,62,0.8266666666666667,0.8266666666666667,13
C6,D4,M Qualitative D4,125,75,50,125,0,57,0.456,75,0,0,50,0.6,0.5,1.0,0.0,0.6,57,0.76,0.76,18
C6,D8,M Qualitative D8,125,75,50,125,0,49,0.392,75,0,0,50,0.6,0.5,1.0,0.0,0.6,49,0.6533333333333333,0.6533333333333333,26
