scene_id,scene_family,target_id,truth_id,prediction_counts,n,gt_positive,gt_null,predicted_positive,predicted_null,exact_matches,exact_accuracy,tp,fn,tn,fp,presence_accuracy,presence_balanced_accuracy,presence_recall,null_specificity,presence_precision,positive_id_correct,positive_id_accuracy,id_accuracy_given_non_null_prediction_on_positive,wrong_non_null_id_on_positive
scene_fc_blocked_v01,FC_BLOCKED,64,,"{""40"": 60}",60,0,60,60,0,0,0.0,0,0,0,60,0.0,,,0.0,0.0,0,,,0
scene_fc_blocked_v02,FC_BLOCKED,53,,"{""49"": 60}",60,0,60,60,0,0,0.0,0,0,0,60,0.0,,,0.0,0.0,0,,,0
scene_fc_blocked_v03,FC_BLOCKED,12,,"{""33"": 60}",60,0,60,60,0,0,0.0,0,0,0,60,0.0,,,0.0,0.0,0,,,0
scene_fc_blocked_v04,FC_BLOCKED,89,,"{""19"": 60}",60,0,60,60,0,0,0.0,0,0,0,60,0.0,,,0.0,0.0,0,,,0
scene_fc_blocked_v05,FC_BLOCKED,59,,"{""26"": 60}",60,0,60,60,0,0,0.0,0,0,0,60,0.0,,,0.0,0.0,0,,,0
scene_fc_clear_v01,FC_CLEAR,53,,"{""62"": 15, ""98"": 45}",60,0,60,60,0,0,0.0,0,0,0,60,0.0,,,0.0,0.0,0,,,0
scene_fc_clear_v02,FC_CLEAR,29,,"{""10"": 60}",60,0,60,60,0,0,0.0,0,0,0,60,0.0,,,0.0,0.0,0,,,0
scene_fc_clear_v03,FC_CLEAR,95,,"{""20"": 60}",60,0,60,60,0,0,0.0,0,0,0,60,0.0,,,0.0,0.0,0,,,0
scene_fc_clear_v04,FC_CLEAR,61,,"{""38"": 60}",60,0,60,60,0,0,0.0,0,0,0,60,0.0,,,0.0,0.0,0,,,0
scene_fc_clear_v05,FC_CLEAR,62,,"{""42"": 15, ""82"": 45}",60,0,60,60,0,0,0.0,0,0,0,60,0.0,,,0.0,0.0,0,,,0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,59,64,"{""64"": 52, ""79"": 8}",60,60,0,60,0,52,0.8666666666666667,60,0,0,0,1.0,,1.0,,1.0,52,0.8666666666666667,0.8666666666666667,8
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,70,14,"{""14"": 9, ""77"": 51}",60,60,0,60,0,9,0.15,60,0,0,0,1.0,,1.0,,1.0,9,0.15,0.15,51
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,12,35,"{""16"": 38, ""35"": 22}",60,60,0,60,0,22,0.36666666666666664,60,0,0,0,1.0,,1.0,,1.0,22,0.36666666666666664,0.36666666666666664,38
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,68,73,"{""30"": 41, ""73"": 19}",60,60,0,60,0,19,0.31666666666666665,60,0,0,0,1.0,,1.0,,1.0,19,0.31666666666666665,0.31666666666666665,41
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,43,15,"{""15"": 55, ""48"": 5}",60,60,0,60,0,55,0.9166666666666666,60,0,0,0,1.0,,1.0,,1.0,55,0.9166666666666666,0.9166666666666666,5
scene_rotate_v01,ROTATE,12,95,"{""54"": 16, ""95"": 44}",60,60,0,60,0,44,0.7333333333333333,60,0,0,0,1.0,,1.0,,1.0,44,0.7333333333333333,0.7333333333333333,16
scene_rotate_v02,ROTATE,38,50,"{""50"": 60}",60,60,0,60,0,60,1.0,60,0,0,0,1.0,,1.0,,1.0,60,1.0,1.0,0
scene_rotate_v03,ROTATE,83,19,"{""11"": 22, ""19"": 35, ""23"": 3}",60,60,0,60,0,35,0.5833333333333334,60,0,0,0,1.0,,1.0,,1.0,35,0.5833333333333334,0.5833333333333334,25
scene_rotate_v04,ROTATE,47,95,"{""25"": 13, ""95"": 47}",60,60,0,60,0,47,0.7833333333333333,60,0,0,0,1.0,,1.0,,1.0,47,0.7833333333333333,0.7833333333333333,13
scene_rotate_v05,ROTATE,44,82,"{""11"": 46, ""82"": 13, ""97"": 1}",60,60,0,60,0,13,0.21666666666666667,60,0,0,0,1.0,,1.0,,1.0,13,0.21666666666666667,0.21666666666666667,47
scene_translate_v01,TRANSLATE,67,35,"{""35"": 60}",60,60,0,60,0,60,1.0,60,0,0,0,1.0,,1.0,,1.0,60,1.0,1.0,0
scene_translate_v02,TRANSLATE,45,95,"{""95"": 60}",60,60,0,60,0,60,1.0,60,0,0,0,1.0,,1.0,,1.0,60,1.0,1.0,0
scene_translate_v03,TRANSLATE,18,45,"{""45"": 60}",60,60,0,60,0,60,1.0,60,0,0,0,1.0,,1.0,,1.0,60,1.0,1.0,0
scene_translate_v04,TRANSLATE,13,84,"{""41"": 1, ""84"": 59}",60,60,0,60,0,59,0.9833333333333333,60,0,0,0,1.0,,1.0,,1.0,59,0.9833333333333333,0.9833333333333333,1
scene_translate_v05,TRANSLATE,54,79,"{""79"": 60}",60,60,0,60,0,60,1.0,60,0,0,0,1.0,,1.0,,1.0,60,1.0,1.0,0
