condition_key,condition_name,n,ACCESSIBLE,BLOCKED,INVALID,positive_rate,unanimous_scenes,v18_accessible,valid_pairs,invalid_pairs,unchanged_accessible,unchanged_blocked,blocked_to_accessible,accessible_to_blocked,changed_valid_pairs,net_accessible_change
C0,RGB only,125,101,24,0,0.808,24,50,125,0,50,24,51,0,51,51
C1,R Numeric,125,120,5,0,0.96,25,56,125,0,56,5,64,0,64,64
C2_D4,R Qualitative D4,125,113,12,0,0.904,23,53,125,0,53,12,60,0,60,60
C2_D8,R Qualitative D8,125,120,5,0,0.96,25,45,125,0,45,5,75,0,75,75
C3_D4,F Numeric D4,125,125,0,0,1.0,25,80,125,0,80,0,45,0,45,45
C3_D8,F Numeric D8,125,125,0,0,1.0,25,81,125,0,81,0,44,0,44,44
C4_D4,F Qualitative D4,125,115,10,0,0.92,23,71,125,0,71,10,44,0,44,44
C4_D8,F Qualitative D8,125,121,4,0,0.968,24,97,125,0,97,4,24,0,24,24
C5_D4,M Numeric D4,125,121,4,0,0.968,24,72,125,0,72,4,49,0,49,49
C5_D8,M Numeric D8,125,125,0,0,1.0,25,88,125,0,88,0,37,0,37,37
C6_D4,M Qualitative D4,125,125,0,0,1.0,25,81,125,0,81,0,44,0,44,44
C6_D8,M Qualitative D8,125,125,0,0,1.0,25,81,125,0,81,0,44,0,44,44
