condition_key,condition_name,scene_family,n,ACCESSIBLE,BLOCKED,INVALID,positive_rate,v18_accessible,delta_accessible,valid_pairs,invalid_pairs,unchanged_accessible,unchanged_blocked,blocked_to_accessible,accessible_to_blocked,changed_valid_pairs,net_accessible_change
C0,RGB only,FC_CLEAR,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C0,RGB only,FC_BLOCKED,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C0,RGB only,TRANSLATE,25,20,5,0,0.8,0,20,25,0,0,5,20,0,20,20
C0,RGB only,ROTATE,25,20,5,0,0.8,0,20,25,0,0,5,20,0,20,20
C0,RGB only,LIFT_AND_RELOCATE,25,11,14,0,0.44,0,11,25,0,0,14,11,0,11,11
C1,R Numeric,FC_CLEAR,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C1,R Numeric,FC_BLOCKED,25,25,0,0,1.0,20,5,25,0,20,0,5,0,5,5
C1,R Numeric,TRANSLATE,25,20,5,0,0.8,1,19,25,0,1,5,19,0,19,19
C1,R Numeric,ROTATE,25,25,0,0,1.0,6,19,25,0,6,0,19,0,19,19
C1,R Numeric,LIFT_AND_RELOCATE,25,25,0,0,1.0,4,21,25,0,4,0,21,0,21,21
C2_D4,R Qualitative D4,FC_CLEAR,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C2_D4,R Qualitative D4,FC_BLOCKED,25,25,0,0,1.0,16,9,25,0,16,0,9,0,9,9
C2_D4,R Qualitative D4,TRANSLATE,25,20,5,0,0.8,0,20,25,0,0,5,20,0,20,20
C2_D4,R Qualitative D4,ROTATE,25,25,0,0,1.0,12,13,25,0,12,0,13,0,13,13
C2_D4,R Qualitative D4,LIFT_AND_RELOCATE,25,18,7,0,0.72,0,18,25,0,0,7,18,0,18,18
C2_D8,R Qualitative D8,FC_CLEAR,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C2_D8,R Qualitative D8,FC_BLOCKED,25,25,0,0,1.0,13,12,25,0,13,0,12,0,12,12
C2_D8,R Qualitative D8,TRANSLATE,25,20,5,0,0.8,1,19,25,0,1,5,19,0,19,19
C2_D8,R Qualitative D8,ROTATE,25,25,0,0,1.0,6,19,25,0,6,0,19,0,19,19
C2_D8,R Qualitative D8,LIFT_AND_RELOCATE,25,25,0,0,1.0,0,25,25,0,0,0,25,0,25,25
C3_D4,F Numeric D4,FC_CLEAR,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C3_D4,F Numeric D4,FC_BLOCKED,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C3_D4,F Numeric D4,TRANSLATE,25,25,0,0,1.0,12,13,25,0,12,0,13,0,13,13
C3_D4,F Numeric D4,ROTATE,25,25,0,0,1.0,11,14,25,0,11,0,14,0,14,14
C3_D4,F Numeric D4,LIFT_AND_RELOCATE,25,25,0,0,1.0,7,18,25,0,7,0,18,0,18,18
C3_D8,F Numeric D8,FC_CLEAR,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C3_D8,F Numeric D8,FC_BLOCKED,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C3_D8,F Numeric D8,TRANSLATE,25,25,0,0,1.0,12,13,25,0,12,0,13,0,13,13
C3_D8,F Numeric D8,ROTATE,25,25,0,0,1.0,5,20,25,0,5,0,20,0,20,20
C3_D8,F Numeric D8,LIFT_AND_RELOCATE,25,25,0,0,1.0,14,11,25,0,14,0,11,0,11,11
C4_D4,F Qualitative D4,FC_CLEAR,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C4_D4,F Qualitative D4,FC_BLOCKED,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C4_D4,F Qualitative D4,TRANSLATE,25,25,0,0,1.0,12,13,25,0,12,0,13,0,13,13
C4_D4,F Qualitative D4,ROTATE,25,20,5,0,0.8,6,14,25,0,6,5,14,0,14,14
C4_D4,F Qualitative D4,LIFT_AND_RELOCATE,25,20,5,0,0.8,3,17,25,0,3,5,17,0,17,17
C4_D8,F Qualitative D8,FC_CLEAR,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C4_D8,F Qualitative D8,FC_BLOCKED,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C4_D8,F Qualitative D8,TRANSLATE,25,25,0,0,1.0,20,5,25,0,20,0,5,0,5,5
C4_D8,F Qualitative D8,ROTATE,25,25,0,0,1.0,16,9,25,0,16,0,9,0,9,9
C4_D8,F Qualitative D8,LIFT_AND_RELOCATE,25,21,4,0,0.84,11,10,25,0,11,4,10,0,10,10
C5_D4,M Numeric D4,FC_CLEAR,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C5_D4,M Numeric D4,FC_BLOCKED,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C5_D4,M Numeric D4,TRANSLATE,25,21,4,0,0.84,15,6,25,0,15,4,6,0,6,6
C5_D4,M Numeric D4,ROTATE,25,25,0,0,1.0,5,20,25,0,5,0,20,0,20,20
C5_D4,M Numeric D4,LIFT_AND_RELOCATE,25,25,0,0,1.0,2,23,25,0,2,0,23,0,23,23
C5_D8,M Numeric D8,FC_CLEAR,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C5_D8,M Numeric D8,FC_BLOCKED,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C5_D8,M Numeric D8,TRANSLATE,25,25,0,0,1.0,11,14,25,0,11,0,14,0,14,14
C5_D8,M Numeric D8,ROTATE,25,25,0,0,1.0,17,8,25,0,17,0,8,0,8,8
C5_D8,M Numeric D8,LIFT_AND_RELOCATE,25,25,0,0,1.0,10,15,25,0,10,0,15,0,15,15
C6_D4,M Qualitative D4,FC_CLEAR,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C6_D4,M Qualitative D4,FC_BLOCKED,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C6_D4,M Qualitative D4,TRANSLATE,25,25,0,0,1.0,11,14,25,0,11,0,14,0,14,14
C6_D4,M Qualitative D4,ROTATE,25,25,0,0,1.0,15,10,25,0,15,0,10,0,10,10
C6_D4,M Qualitative D4,LIFT_AND_RELOCATE,25,25,0,0,1.0,5,20,25,0,5,0,20,0,20,20
C6_D8,M Qualitative D8,FC_CLEAR,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
C6_D8,M Qualitative D8,FC_BLOCKED,25,25,0,0,1.0,25,0,25,0,25,0,0,0,0,0
