scene_id,scene_family,condition_key,target_object_id,n,ACCESSIBLE,BLOCKED,INVALID,positive_rate,unanimous,v18_accessible
scene_fc_blocked_v01,FC_BLOCKED,C0,64,5,5,0,0,1.0,True,5
scene_fc_blocked_v02,FC_BLOCKED,C0,53,5,5,0,0,1.0,True,5
scene_fc_blocked_v03,FC_BLOCKED,C0,12,5,5,0,0,1.0,True,5
scene_fc_blocked_v04,FC_BLOCKED,C0,89,5,5,0,0,1.0,True,5
scene_fc_blocked_v05,FC_BLOCKED,C0,59,5,5,0,0,1.0,True,5
scene_fc_clear_v01,FC_CLEAR,C0,53,5,5,0,0,1.0,True,5
scene_fc_clear_v02,FC_CLEAR,C0,29,5,5,0,0,1.0,True,5
scene_fc_clear_v03,FC_CLEAR,C0,95,5,5,0,0,1.0,True,5
scene_fc_clear_v04,FC_CLEAR,C0,61,5,5,0,0,1.0,True,5
scene_fc_clear_v05,FC_CLEAR,C0,62,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C0,59,5,1,4,0,0.2,False,0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C0,70,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C0,12,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C0,68,5,0,5,0,0.0,True,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C0,43,5,0,5,0,0.0,True,0
scene_rotate_v01,ROTATE,C0,12,5,5,0,0,1.0,True,0
scene_rotate_v02,ROTATE,C0,38,5,5,0,0,1.0,True,0
scene_rotate_v03,ROTATE,C0,83,5,5,0,0,1.0,True,0
scene_rotate_v04,ROTATE,C0,47,5,5,0,0,1.0,True,0
scene_rotate_v05,ROTATE,C0,44,5,0,5,0,0.0,True,0
scene_translate_v01,TRANSLATE,C0,67,5,5,0,0,1.0,True,0
scene_translate_v02,TRANSLATE,C0,45,5,5,0,0,1.0,True,0
scene_translate_v03,TRANSLATE,C0,18,5,5,0,0,1.0,True,0
scene_translate_v04,TRANSLATE,C0,13,5,0,5,0,0.0,True,0
scene_translate_v05,TRANSLATE,C0,54,5,5,0,0,1.0,True,0
scene_fc_blocked_v01,FC_BLOCKED,C1,64,5,5,0,0,1.0,True,5
scene_fc_blocked_v02,FC_BLOCKED,C1,53,5,5,0,0,1.0,True,5
scene_fc_blocked_v03,FC_BLOCKED,C1,12,5,5,0,0,1.0,True,5
scene_fc_blocked_v04,FC_BLOCKED,C1,89,5,5,0,0,1.0,True,4
scene_fc_blocked_v05,FC_BLOCKED,C1,59,5,5,0,0,1.0,True,1
scene_fc_clear_v01,FC_CLEAR,C1,53,5,5,0,0,1.0,True,5
scene_fc_clear_v02,FC_CLEAR,C1,29,5,5,0,0,1.0,True,5
scene_fc_clear_v03,FC_CLEAR,C1,95,5,5,0,0,1.0,True,5
scene_fc_clear_v04,FC_CLEAR,C1,61,5,5,0,0,1.0,True,5
scene_fc_clear_v05,FC_CLEAR,C1,62,5,5,0,0,1.0,True,5
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C1,59,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C1,70,5,5,0,0,1.0,True,4
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C1,12,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C1,68,5,5,0,0,1.0,True,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C1,43,5,5,0,0,1.0,True,0
scene_rotate_v01,ROTATE,C1,12,5,5,0,0,1.0,True,0
scene_rotate_v02,ROTATE,C1,38,5,5,0,0,1.0,True,4
scene_rotate_v03,ROTATE,C1,83,5,5,0,0,1.0,True,1
scene_rotate_v04,ROTATE,C1,47,5,5,0,0,1.0,True,1
scene_rotate_v05,ROTATE,C1,44,5,5,0,0,1.0,True,0
