condition_key,condition_name,scene_family,n,RETRIEVE_NOW,REARRANGE_FIRST,v16_REARRANGE_FIRST,changed_vs_v16
C0,RGB only,FC_CLEAR,25,25,0,0,0
C0,RGB only,FC_BLOCKED,25,19,6,6,0
C0,RGB only,TRANSLATE,25,2,23,23,0
C0,RGB only,ROTATE,25,1,24,24,0
C0,RGB only,LIFT_AND_RELOCATE,25,0,25,25,0
C1,R Numeric,FC_CLEAR,25,20,5,5,0
C1,R Numeric,FC_BLOCKED,25,13,12,12,0
C1,R Numeric,TRANSLATE,25,5,20,20,0
C1,R Numeric,ROTATE,25,1,24,24,0
C1,R Numeric,LIFT_AND_RELOCATE,25,0,25,25,0
C2_D4,R Qualitative D4,FC_CLEAR,25,25,0,0,0
C2_D4,R Qualitative D4,FC_BLOCKED,25,16,9,9,0
C2_D4,R Qualitative D4,TRANSLATE,25,0,25,25,0
C2_D4,R Qualitative D4,ROTATE,25,0,25,25,0
C2_D4,R Qualitative D4,LIFT_AND_RELOCATE,25,0,25,25,0
C2_D8,R Qualitative D8,FC_CLEAR,25,24,1,1,0
C2_D8,R Qualitative D8,FC_BLOCKED,25,7,18,18,0
C2_D8,R Qualitative D8,TRANSLATE,25,0,25,25,0
C2_D8,R Qualitative D8,ROTATE,25,0,25,25,0
C2_D8,R Qualitative D8,LIFT_AND_RELOCATE,25,0,25,25,0
C3_D4,F Numeric D4,FC_CLEAR,25,22,3,3,0
C3_D4,F Numeric D4,FC_BLOCKED,25,22,3,3,0
C3_D4,F Numeric D4,TRANSLATE,25,4,21,21,0
C3_D4,F Numeric D4,ROTATE,25,4,21,21,0
C3_D4,F Numeric D4,LIFT_AND_RELOCATE,25,5,20,20,0
C3_D8,F Numeric D8,FC_CLEAR,25,25,0,0,0
C3_D8,F Numeric D8,FC_BLOCKED,25,21,4,4,0
C3_D8,F Numeric D8,TRANSLATE,25,5,20,20,0
C3_D8,F Numeric D8,ROTATE,25,4,21,21,0
C3_D8,F Numeric D8,LIFT_AND_RELOCATE,25,1,24,24,0
C4_D4,F Qualitative D4,FC_CLEAR,25,16,9,9,0
C4_D4,F Qualitative D4,FC_BLOCKED,25,13,12,12,0
C4_D4,F Qualitative D4,TRANSLATE,25,2,23,23,0
C4_D4,F Qualitative D4,ROTATE,25,2,23,23,0
C4_D4,F Qualitative D4,LIFT_AND_RELOCATE,25,0,25,25,0
C4_D8,F Qualitative D8,FC_CLEAR,25,17,8,8,0
C4_D8,F Qualitative D8,FC_BLOCKED,25,14,11,11,0
C4_D8,F Qualitative D8,TRANSLATE,25,2,23,23,0
C4_D8,F Qualitative D8,ROTATE,25,0,25,25,0
C4_D8,F Qualitative D8,LIFT_AND_RELOCATE,25,0,25,25,0
C5_D4,M Numeric D4,FC_CLEAR,25,18,7,7,0
C5_D4,M Numeric D4,FC_BLOCKED,25,8,17,17,0
C5_D4,M Numeric D4,TRANSLATE,25,4,21,21,0
C5_D4,M Numeric D4,ROTATE,25,6,19,19,0
C5_D4,M Numeric D4,LIFT_AND_RELOCATE,25,2,23,23,0
C5_D8,M Numeric D8,FC_CLEAR,25,23,2,2,0
C5_D8,M Numeric D8,FC_BLOCKED,25,19,6,6,0
C5_D8,M Numeric D8,TRANSLATE,25,3,22,22,0
C5_D8,M Numeric D8,ROTATE,25,4,21,21,0
C5_D8,M Numeric D8,LIFT_AND_RELOCATE,25,0,25,25,0
C6_D4,M Qualitative D4,FC_CLEAR,25,19,6,6,0
C6_D4,M Qualitative D4,FC_BLOCKED,25,13,12,12,0
C6_D4,M Qualitative D4,TRANSLATE,25,4,21,21,0
C6_D4,M Qualitative D4,ROTATE,25,0,25,25,0
C6_D4,M Qualitative D4,LIFT_AND_RELOCATE,25,0,25,25,0
C6_D8,M Qualitative D8,FC_CLEAR,25,22,3,3,0
C6_D8,M Qualitative D8,FC_BLOCKED,25,21,4,4,0
C6_D8,M Qualitative D8,TRANSLATE,25,2,23,23,0
C6_D8,M Qualitative D8,ROTATE,25,0,25,25,0
C6_D8,M Qualitative D8,LIFT_AND_RELOCATE,25,0,25,25,0
