scene_id,scene_family,truth,n,predicted_true,correct,accuracy
scene_fc_blocked_v01,FC_BLOCKED,True,60,60,60,1.0
scene_fc_blocked_v02,FC_BLOCKED,True,60,60,60,1.0
scene_fc_blocked_v03,FC_BLOCKED,True,60,60,60,1.0
scene_fc_blocked_v04,FC_BLOCKED,True,60,60,60,1.0
scene_fc_blocked_v05,FC_BLOCKED,False,60,60,0,0.0
scene_fc_clear_v01,FC_CLEAR,True,60,60,60,1.0
scene_fc_clear_v02,FC_CLEAR,True,60,60,60,1.0
scene_fc_clear_v03,FC_CLEAR,True,60,60,60,1.0
scene_fc_clear_v04,FC_CLEAR,True,60,60,60,1.0
scene_fc_clear_v05,FC_CLEAR,True,60,60,60,1.0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,False,60,60,0,0.0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,False,60,60,0,0.0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,False,60,60,0,0.0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,False,60,38,22,0.36666666666666664
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,False,60,60,0,0.0
scene_rotate_v01,ROTATE,False,60,54,6,0.1
scene_rotate_v02,ROTATE,False,60,60,0,0.0
scene_rotate_v03,ROTATE,False,60,49,11,0.18333333333333332
scene_rotate_v04,ROTATE,False,60,60,0,0.0
scene_rotate_v05,ROTATE,False,60,60,0,0.0
scene_translate_v01,TRANSLATE,False,60,24,36,0.6
scene_translate_v02,TRANSLATE,False,60,60,0,0.0
scene_translate_v03,TRANSLATE,False,60,60,0,0.0
scene_translate_v04,TRANSLATE,False,60,16,44,0.7333333333333333
scene_translate_v05,TRANSLATE,False,60,59,1,0.016666666666666666
