condition_key,n,reason_correct,blocker_set_exact,blocker_presence_correct,joint_correct,micro_precision,micro_recall,micro_f1,valid
C0,125,73,81,120,51,0.6363636363636364,0.8666666666666667,0.7338709677419355,113
C1,125,65,85,120,51,0.6125,0.9333333333333333,0.739622641509434,123
C2_D4,125,66,88,124,50,0.5942857142857143,0.9904761904761905,0.742857142857143,117
C2_D8,125,52,86,120,42,0.5645161290322581,1.0,0.7216494845360826,110
C3_D4,125,57,57,113,32,0.44711538461538464,0.8857142857142857,0.5942492012779553,103
C3_D8,125,45,64,105,25,0.4634146341463415,0.9047619047619048,0.6129032258064516,102
C4_D4,125,63,48,110,38,0.416,0.9904761904761905,0.5859154929577465,91
C4_D8,125,54,53,110,29,0.42857142857142855,1.0,0.6,95
C5_D4,125,60,66,116,37,0.5240641711229946,0.9333333333333333,0.6712328767123287,109
C5_D8,125,58,63,111,33,0.44052863436123346,0.9523809523809523,0.6024096385542168,98
C6_D4,125,57,45,120,29,0.39920948616600793,0.9619047619047619,0.5642458100558659,89
C6_D8,125,49,42,111,23,0.36764705882352944,0.9523809523809523,0.5305039787798409,84
