scene_a,scene_b,short_a,short_b,family_a,family_b,a_fc_clear,b_fc_clear,a_semantic_clear,b_semantic_clear,block24_cosine,final_cosine,final_minus_block24
scene_fc_blocked_v01,scene_fc_blocked_v02,B1,B2,FC_BLOCKED,FC_BLOCKED,False,False,False,False,0.9991872383114773,0.9907153986314754,-0.00847183968000187
scene_fc_blocked_v01,scene_fc_blocked_v03,B1,B3,FC_BLOCKED,FC_BLOCKED,False,False,False,False,0.9988956215380476,0.9845683130883416,-0.014327308449705978
scene_fc_blocked_v01,scene_fc_blocked_v04,B1,B4,FC_BLOCKED,FC_BLOCKED,False,False,False,False,0.9981733605141899,0.988040348242401,-0.010133012271788977
scene_fc_blocked_v01,scene_fc_blocked_v05,B1,B5,FC_BLOCKED,FC_BLOCKED,False,False,False,False,0.999319009109507,0.9914867639838767,-0.0078322451256303
scene_fc_blocked_v01,scene_fc_clear_v01,B1,C1,FC_BLOCKED,FC_CLEAR,False,True,False,True,0.9991601482615489,0.9608264116683647,-0.038333736593184176
scene_fc_blocked_v01,scene_fc_clear_v02,B1,C2,FC_BLOCKED,FC_CLEAR,False,True,False,True,0.9991869168117267,0.9629896139547505,-0.0361973028569762
scene_fc_blocked_v01,scene_fc_clear_v03,B1,C3,FC_BLOCKED,FC_CLEAR,False,True,False,True,0.9993259143571779,0.9631765483136706,-0.03614936604350727
scene_fc_blocked_v01,scene_fc_clear_v04,B1,C4,FC_BLOCKED,FC_CLEAR,False,True,False,True,0.9991681486477494,0.9618996785097578,-0.037268470137991616
scene_fc_blocked_v01,scene_fc_clear_v05,B1,C5,FC_BLOCKED,FC_CLEAR,False,True,False,False,0.9992674140748974,0.9882820133604058,-0.010985400714491611
scene_fc_blocked_v01,scene_lift_and_relocate_v01,B1,L1,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.997938247051079,0.97975635812379,-0.018181888927289003
scene_fc_blocked_v01,scene_lift_and_relocate_v02,B1,L2,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9983426227572239,0.9815335908203698,-0.016809031936854013
scene_fc_blocked_v01,scene_lift_and_relocate_v03,B1,L3,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9980284795077277,0.97242389908779,-0.025604580419937628
scene_fc_blocked_v01,scene_lift_and_relocate_v04,B1,L4,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9987917605509606,0.9770648333216302,-0.02172692722933045
