level,geometry_condition,condition_name,direction_resolution,paired_n,baseline_accuracy,condition_accuracy,accuracy_delta,c0_only_correct,condition_only_correct,mcnemar_exact_two_sided_p
L4,C1,R numeric,D4,125,0.12,0.144,0.024,7,10,0.629058837890625
L4,C1,R numeric,D8,125,0.128,0.152,0.024,11,14,0.6900379657745361
L4,C2,R qualitative,D4,125,0.12,0.248,0.128,1,17,0.00014495849609375
L4,C2,R qualitative,D8,125,0.128,0.328,0.2,1,26,4.172325134277344e-07
L4,C3,F numeric,D4,125,0.12,0.208,0.088,3,14,0.012725830078125
L4,C3,F numeric,D8,125,0.128,0.088,-0.04,8,3,0.2265625
L4,C4,F qualitative,D4,125,0.12,0.184,0.064,5,13,0.09625244140625
L4,C4,F qualitative,D8,125,0.128,0.184,0.056,4,11,0.11846923828125
L4,C5,M numeric,D4,125,0.12,0.176,0.056,7,14,0.18924713134765625
L4,C5,M numeric,D8,125,0.128,0.248,0.12,6,21,0.005924612283706665
L4,C6,M qualitative,D4,125,0.12,0.328,0.208,1,27,2.1606683731079102e-07
L4,C6,M qualitative,D8,125,0.128,0.264,0.136,4,21,0.0009105205535888672
