asset_id,canonical_basic_color,predicted_basic_color,perceptually_acceptable,count
Cup_2,white,white,True,680
Cup_4,blue,blue,True,360
Mug_2,black,black,True,580
Mug_4,yellow,yellow,True,260
acafela,blue,blue,True,760
biracsikhye,yellow,black,True,23
biracsikhye,yellow,brown,True,61
biracsikhye,yellow,yellow,True,656
cantata,brown,black,True,29
cantata,brown,brown,True,1011
cocopalm,pink,pink,True,413
cocopalm,pink,purple,True,107
coldgrape,purple,blue,True,429
coldgrape,purple,purple,True,91
cup_7,purple,purple,True,540
cup_8,purple,purple,True,460
letsbe,blue,blue,True,700
minutemad,yellow,green,True,107
minutemad,yellow,orange,True,31
minutemad,yellow,yellow,True,522
mug_7,orange,brown,True,634
mug_7,orange,orange,True,26
top,green,blue,True,62
top,green,green,True,658
