level,query_id,scope,calls,instances,matching_id_set_exact_pct,matching_micro_precision_pct,matching_micro_recall_pct,matching_micro_f1_pct,request_constraints_exact_pct,semantic_id_set_exact_pct,semantic_object_accuracy_pct,semantic_basic_color_accuracy_pct,semantic_perceptual_color_accuracy_pct,semantic_joint_accuracy_pct,semantic_perceptual_joint_accuracy_pct,semantic_scene_joint_exact_pct,semantic_perceptual_scene_joint_exact_pct,type_flag_accuracy_pct,color_flag_accuracy_pct,match_flag_accuracy_pct,logical_rule_scene_exact_pct,aggregation_exact_pct,absent_false_positive_rate_pct,parse_failures,scene_queries_5of5,scene_queries_1to4of5,scene_queries_0of5
L3,Q1_CATEGORY_PRESENT,L3_Q1_CATEGORY_PRESENT,100,600,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.667,100.0,91.667,100.0,70.0,100.0,100.0,98.333,100.0,98.0,100.0,0.0,0,20,0,0
L3,Q1_5_COLOR_ONLY_PRESENT,L3_Q1_5_COLOR_ONLY_PRESENT,100,600,90.0,95.833,100.0,97.872,100.0,100.0,100.0,90.833,100.0,90.833,100.0,70.0,100.0,100.0,98.333,98.333,100.0,100.0,0.0,0,18,0,2
L3,Q2_CATEGORY_COLOR_PRESENT,L3_Q2_CATEGORY_COLOR_PRESENT,100,600,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.833,100.0,90.833,100.0,68.0,100.0,100.0,98.333,100.0,100.0,100.0,0.0,0,20,0,0
L3,Q3_HARD_NEGATIVE_ABSENT,L3_Q3_HARD_NEGATIVE_ABSENT,100,600,100.0,,,,100.0,100.0,100.0,91.667,100.0,91.667,100.0,70.0,100.0,99.0,94.333,100.0,97.0,100.0,0.0,0,20,0,0
L4,Q1_CATEGORY_PRESENT,L4_Q1_CATEGORY_PRESENT,100,800,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.75,100.0,80.75,100.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0,20,0,0
L4,Q1_5_COLOR_ONLY_PRESENT,L4_Q1_5_COLOR_ONLY_PRESENT,100,800,55.0,83.333,82.353,82.84,100.0,100.0,100.0,80.25,100.0,80.25,100.0,20.0,100.0,100.0,92.75,92.75,100.0,100.0,0.0,0,11,0,9
L4,Q2_CATEGORY_COLOR_PRESENT,L4_Q2_CATEGORY_COLOR_PRESENT,100,800,77.0,84.158,85.0,84.577,100.0,100.0,100.0,81.625,100.0,81.625,100.0,20.0,100.0,100.0,94.0,96.125,100.0,100.0,0.0,0,15,1,4
L4,Q3_HARD_NEGATIVE_ABSENT,L4_Q3_HARD_NEGATIVE_ABSENT,100,800,98.0,,,,100.0,100.0,99.75,79.5,100.0,79.25,99.75,20.0,98.0,99.75,96.375,99.75,100.0,100.0,2.0,0,19,1,0
L5,Q1_CATEGORY_PRESENT,L5_Q1_CATEGORY_PRESENT,100,900,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.444,100.0,81.444,100.0,12.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0,20,0,0
L5,Q1_5_COLOR_ONLY_PRESENT,L5_Q1_5_COLOR_ONLY_PRESENT,100,900,58.0,91.304,84.0,87.5,100.0,100.0,99.778,81.0,100.0,80.778,99.778,6.0,98.0,100.0,95.333,95.333,100.0,100.0,0.0,0,11,2,7
L5,Q2_CATEGORY_COLOR_PRESENT,L5_Q2_CATEGORY_COLOR_PRESENT,100,900,85.0,94.737,90.0,92.308,100.0,100.0,100.0,83.222,100.0,83.222,100.0,5.0,100.0,100.0,96.667,98.333,100.0,100.0,0.0,0,17,0,3
L5,Q3_HARD_NEGATIVE_ABSENT,L5_Q3_HARD_NEGATIVE_ABSENT,100,900,77.0,,,,100.0,100.0,99.444,82.111,100.0,81.556,99.444,5.0,95.0,99.444,96.889,97.444,100.0,100.0,23.0,0,15,1,4
